#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-03-03T14:02:55 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ603f966d8445 
#INFO -out.max=1000 
#INFO queryParameters=12 
#-oc.form=sexa
#-out.max=1000
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/other/Nat/563.365&tab:{J/other/Nat/563.365/gl699ha}&key:source=J/other/Nat/563.365/gl699ha&HTTPPRM:&&-ref=VIZ603f966d8445&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-file=.&-meta=1&-usenav=1&-bmark=POST&
#-source=J/other/Nat/563.365/gl699ha
#-order=I
#-out=Inst
#-out=BJD
#-out=Halpha
#-out=e_Halpha
#

#RESOURCE=yCat_1038056301
#Name: J/other/Nat/563.365
#Title: Barnard's star radial velocity curve (Ribas+, 2018)
#Table J_other_Nat_563_365_gl699ha:
#Name: J/other/Nat/563.365/gl699ha
#Title: Time-series measurements of the H{alpha} index
#---Details of Columns:
    Inst     (a9)    Instrument (1) [ucd=meta.id;instr]
    BJD (d)  (F13.5) Barycentric Julian Date of the mid-time of the observation [ucd=time.epoch]
    Halpha   (F8.5)  H{alpha} index [ucd=spect.index;em.line.Halpha]
    e_Halpha (F8.5)  1-sigma uncertainty in the H{alpha} index [ucd=stat.error]
--------- ------------- -------- --------
Inst      BJD (d)       Halpha   e_Halpha
CARMENES  2457910.58502  0.46731  0.00184
CARMENES  2457911.66068  0.47293  0.00163
CARMENES  2457912.66960  0.49429  0.00142
CARMENES  2457914.52899  0.47164  0.00191
CARMENES  2457915.56292  0.47039  0.00196
CARMENES  2457916.52839  0.46540  0.00212
CARMENES  2457917.55696  0.46896  0.00214
CARMENES  2457918.64233  0.49314  0.00139
CARMENES  2457919.64045  0.47217  0.00203
CARMENES  2457920.40067  0.46693  0.00323
CARMENES  2457921.54541  0.46267  0.00179
CARMENES  2457922.47817  0.46851  0.00170
CARMENES  2457924.47769  0.47119  0.00145
CARMENES  2457928.64736  0.46301  0.00200
CARMENES  2457931.58803  0.48719  0.00234
CARMENES  2457934.41307  0.47829  0.00194
CARMENES  2457935.44095  0.46868  0.00211
CARMENES  2457936.49307  0.48943  0.00134
CARMENES  2457937.48209  0.46882  0.00196
CARMENES  2457939.47837  0.47329  0.00162
CARMENES  2457942.48064  0.48126  0.00095
CARMENES  2457943.46947  0.48714  0.00139
CARMENES  2457944.46180  0.47794  0.00118
CARMENES  2457945.46151  0.47474  0.00182
CARMENES  2457946.56893  0.47703  0.00121
CARMENES  2457947.43100  0.49167  0.00140
CARMENES  2457948.42767  0.49155  0.00182
CARMENES  2457949.53834  0.48775  0.00182
CARMENES  2457950.44782  0.49171  0.00158
CARMENES  2457951.44249  0.47899  0.00206
CARMENES  2457954.45745  0.49113  0.00152
CARMENES  2457955.43315  0.48109  0.00217
CARMENES  2457958.44950  0.48190  0.00179
CARMENES  2457959.56201  0.47708  0.00171
CARMENES  2457960.41689  0.48224  0.00120
CARMENES  2457961.41980  0.48779  0.00161
CARMENES  2457962.42045  0.49345  0.00198
CARMENES  2457963.40703  0.48169  0.00122
CARMENES  2457964.41040  0.48058  0.00150
CARMENES  2457965.43537  0.47722  0.00176
CARMENES  2457969.41863  0.48730  0.00140
CARMENES  2457970.40792  0.47393  0.00239
CARMENES  2457971.38738  0.47357  0.00198
CARMENES  2457974.41793  0.48421  0.00156
CARMENES  2457975.37672  0.50150  0.00177
CARMENES  2457976.39950  0.48105  0.00199
CARMENES  2457977.42131  0.48953  0.00179
CARMENES  2457979.45568  0.48020  0.00206
CARMENES  2457981.38588  0.48300  0.00119
CARMENES  2457982.45638  0.48912  0.00160
CARMENES  2457986.43377  0.48949  0.00198
CARMENES  2457987.41038  0.48654  0.00211
CARMENES  2457990.42957  0.49075  0.00147
CARMENES  2457998.42410  0.48337  0.00125
CARMENES  2458000.40965  0.49104  0.00156
CARMENES  2458001.44498  0.49463  0.00174
CARMENES  2458007.31067  0.48592  0.00112
CARMENES  2458008.38176  0.48037  0.00139
CARMENES  2458010.30820  0.48187  0.00101
CARMENES  2458017.33144  0.46647  0.00156
CARMENES  2458021.30619  0.48636  0.00148
CARMENES  2458022.28606  0.46609  0.00165
CARMENES  2458027.34837  0.46265  0.00129
CARMENES  2458028.37702  0.47278  0.00170
CARMENES  2458032.30739  0.47746  0.00132
HARPSN    2456841.51531  0.47244  0.00130
HARPSN    2456842.59137  0.47689  0.00144
HARPSN    2456843.54949  0.49625  0.00146
HARPSN    2457451.69820  0.47980  0.00151
HARPSN    2457452.72768  0.47628  0.00146
HARPSN    2457453.72257  0.48536  0.00153
HARPSN    2457454.73114  0.49052  0.00135
HARPSN    2457455.70894  0.48166  0.00143
HARPSN    2457626.41707  0.49197  0.00132
HARPSN    2457627.41149  0.48227  0.00127
HARPSN    2457628.42709  0.47562  0.00146
HARPSN    2457629.36552  0.48380  0.00135
HARPSN    2457630.41273  0.47797  0.00135
HARPSN    2457632.41212  0.47543  0.00134
HARPSN    2457637.40501  0.48606  0.00130
HARPSN    2457638.40583  0.47877  0.00121
HARPSN    2457641.39097  0.46744  0.00129
HARPSN    2457642.43451  0.48610  0.00129
HARPSN    2457643.38726  0.46257  0.00134
HARPSN    2457645.38858  0.46433  0.00153
HARPSN    2457646.38433  0.46261  0.00125
HARPSN    2457977.46710  0.48865  0.00146
HARPSN    2457978.38943  0.48516  0.00126
HARPSN    2457979.41854  0.49467  0.00129
HARPSN    2457980.44439  0.48624  0.00133
HARPSN    2457981.44697  0.48353  0.00131
HARPSN    2457982.40379  0.48949  0.00132
HARPSN    2457983.46016  0.48618  0.00142
HARPSN    2458005.39294  0.48041  0.00135
HARPSN    2458006.39454  0.47623  0.00142
HARPSN    2458007.38745  0.47604  0.00145
HARPSN    2458008.38743  0.47922  0.00137
HARPSN    2458009.38932  0.49047  0.00141
HARPSN    2458010.37649  0.48921  0.00144
HARPSN    2458033.35064  0.46345  0.00136
HARPSN    2458034.35701  0.46766  0.00133
HARPSN    2458035.35506  0.46918  0.00135
HARPSN    2458036.38413  0.46088  0.00136
HARPSN    2458037.33595  0.46384  0.00139
HARPSN    2458038.36761  0.46452  0.00134
HARPSpost 2457934.65911  0.47208  0.00114
HARPSpost 2457935.68469  0.48051  0.00125
HARPSpost 2457936.65009  0.47252  0.00102
HARPSpost 2457937.67095  0.47427  0.00118
HARPSpost 2457942.59227  0.48032  0.00117
HARPSpost 2457943.57904  0.47704  0.00130
HARPSpost 2457944.56278  0.47734  0.00096
HARPSpost 2457946.73724  0.47738  0.00096
HARPSpost 2457948.68339  0.47920  0.00130
HARPSpost 2457949.68724  0.48153  0.00101
HARPSpost 2457951.67143  0.48657  0.00124
HARPSpost 2457952.65938  0.48739  0.00089
HARPSpost 2457953.71115  0.48158  0.00109
HARPSpost 2457954.65784  0.47911  0.00107
HARPSpost 2457955.67008  0.48247  0.00115
HARPSpost 2457956.69678  0.48358  0.00106
HARPSpost 2457958.77290  0.48943  0.00097
HARPSpost 2457959.65511  0.48639  0.00088
HARPSpost 2457960.67873  0.48747  0.00114
HARPSpost 2457961.66325  0.48351  0.00109
HARPSpost 2457962.64991  0.48685  0.00100
HARPSpost 2457964.66424  0.48284  0.00108
HARPSpost 2457965.64931  0.48131  0.00100
HARPSpost 2457966.63741  0.48233  0.00122
HARPSpost 2457967.56523  0.48548  0.00115
HARPSpost 2457968.49685  0.47755  0.00139
HARPSpost 2457969.63483  0.47398  0.00105
HARPSpost 2457970.49440  0.47965  0.00104
HARPSpost 2457972.48431  0.48500  0.00112
HARPSpost 2457973.49595  0.47765  0.00107
HARPSpost 2457974.48098  0.47899  0.00114
HARPSpost 2457979.63286  0.48321  0.00105
HARPSpost 2457980.63730  0.49571  0.00111
HARPSpost 2457981.62065  0.48138  0.00108
HARPSpost 2457984.52436  0.48531  0.00099
HARPSpost 2457985.52265  0.49103  0.00105
HARPSpost 2457986.53362  0.49145  0.00106
HARPSpost 2457987.54287  0.48978  0.00090
HARPSpost 2457990.50811  0.48675  0.00113
HARPSpost 2457991.52469  0.49433  0.00089
HARPSpost 2457992.52303  0.49342  0.00109
HARPSpost 2457993.50704  0.48854  0.00092
HARPSpost 2457994.49221  0.48954  0.00095
HARPSpost 2457995.49788  0.49040  0.00095
HARPSpost 2457996.49922  0.48918  0.00093
HARPSpost 2457998.52989  0.48713  0.00101
HARPSpost 2457999.49261  0.49296  0.00094
HARPSpost 2458000.52979  0.48932  0.00123
HARPSpost 2458001.53538  0.49368  0.00100
HARPSpost 2458002.52471  0.48041  0.00113
HARPSpost 2458007.54691  0.48113  0.00104
HARPSpost 2458008.61148  0.48257  0.00107
HARPSpost 2458010.53444  0.48591  0.00121
HARPSpost 2458011.58638  0.48122  0.00097
HARPSpost 2458012.59147  0.49357  0.00099
HARPSpost 2458013.55675  0.47485  0.00109
HARPSpost 2458017.48534  0.47111  0.00110
HARPSpost 2458018.52876  0.47246  0.00109
HARPSpost 2458019.49571  0.47121  0.00117
HARPSpost 2458020.49978  0.47103  0.00101
HARPSpost 2458021.47858  0.46606  0.00123
HARPSpost 2458022.47916  0.46764  0.00105
HARPSpost 2458023.48144  0.47239  0.00112
HARPSpost 2458025.48950  0.47254  0.00096
HARPSpost 2458026.49536  0.47109  0.00103
HARPSpost 2458027.49530  0.46757  0.00115
HARPSpre  2454194.89389  0.48797  0.00120
HARPSpre  2454196.88340  0.48743  0.00122
HARPSpre  2454197.89481  0.48575  0.00120
HARPSpre  2454198.89026  0.50071  0.00132
HARPSpre  2454199.91820  0.48463  0.00135
HARPSpre  2454200.92062  0.48659  0.00146
HARPSpre  2454202.91869  0.48412  0.00144
HARPSpre  2454227.84380  0.48648  0.00113
HARPSpre  2454298.71451  0.48145  0.00139
HARPSpre  2454315.66130  0.47933  0.00117
HARPSpre  2454316.64730  0.47785  0.00124
HARPSpre  2454319.63797  0.47649  0.00115
HARPSpre  2454320.65025  0.47776  0.00118
HARPSpre  2454340.65059  0.47373  0.00124
HARPSpre  2454343.55720  0.48087  0.00125
HARPSpre  2454347.55814  0.48006  0.00109
HARPSpre  2454385.52388  0.48678  0.00128
HARPSpre  2454389.50159  0.48968  0.00127
HARPSpre  2454551.90900  0.48715  0.00113
HARPSpre  2454588.92100  0.48266  0.00128
HARPSpre  2454948.80974  0.50188  0.00158
HARPSpre  2454951.82600  0.51070  0.00135
HARPSpre  2454956.84293  0.50587  0.00130
HARPSpre  2455054.65253  0.50647  0.00112
HARPSpre  2455388.58708  0.48014  0.00116
HARPSpre  2455396.59812  0.48109  0.00105
HARPSpre  2455403.64732  0.48305  0.00093
HARPSpre  2455457.54186  0.47504  0.00107
HARPSpre  2455485.49053  0.49795  0.00113
HARPSpre  2455634.89240  0.47709  0.00106
HARPSpre  2455645.90336  0.47999  0.00108
HARPSpre  2455660.83414  0.48769  0.00131
HARPSpre  2455672.84473  0.48333  0.00142
HARPSpre  2455674.84575  0.47909  0.00135
HARPSpre  2455675.83518  0.47442  0.00131
HARPSpre  2455676.83521  0.48861  0.00124
HARPSpre  2455677.80103  0.48509  0.00125
HARPSpre  2455678.84916  0.47751  0.00124
HARPSpre  2455679.77930  0.47958  0.00124
HARPSpre  2455680.73132  0.48161  0.00135
HARPSpre  2455681.73245  0.48288  0.00124
HARPSpre  2455682.73167  0.48832  0.00100
HARPSpre  2455683.74012  0.48800  0.00119
HARPSpre  2455684.74219  0.49173  0.00100
HARPSpre  2455685.72725  0.48715  0.00108
HARPSpre  2455690.81294  0.50121  0.00110
HARPSpre  2455691.83830  0.48905  0.00115
HARPSpre  2455692.73336  0.49923  0.00111
HARPSpre  2455693.76708  0.49391  0.00116
HARPSpre  2455753.73939  0.47431  0.00110
HARPSpre  2455754.66031  0.47473  0.00121
HARPSpre  2455769.53985  0.47239  0.00106
HARPSpre  2455776.51347  0.47428  0.00131
HARPSpre  2455777.57781  0.47465  0.00126
HARPSpre  2455778.62275  0.48321  0.00131
HARPSpre  2455779.68807  0.47277  0.00117
HARPSpre  2455782.63985  0.46965  0.00110
HARPSpre  2455802.52366  0.48009  0.00109
HARPSpre  2455803.55551  0.47923  0.00117
HARPSpre  2455804.50618  0.48144  0.00125
HARPSpre  2455805.50187  0.48407  0.00113
HARPSpre  2455807.51110  0.47594  0.00108
HARPSpre  2455809.59444  0.48091  0.00115
HARPSpre  2455810.54670  0.49424  0.00104
HARPSpre  2455835.49884  0.49653  0.00126
HARPSpre  2455837.47876  0.49162  0.00110
HARPSpre  2455839.48260  0.48869  0.00130
HARPSpre  2455840.48460  0.48821  0.00127
HARPSpre  2455841.49425  0.49246  0.00117
HARPSpre  2455844.47820  0.49019  0.00115
HARPSpre  2455845.49424  0.49245  0.00115
HARPSpre  2455992.88068  0.49193  0.00117
HARPSpre  2456064.78310  0.47611  0.00102
HARPSpre  2456078.76111  0.48126  0.00117
HARPSpre  2456079.69780  0.49778  0.00123
HARPSpre  2456080.76082  0.46989  0.00117
HARPSpre  2456081.76931  0.47000  0.00114
HARPSpre  2456082.73176  0.46761  0.00108
HARPSpre  2456083.70308  0.47911  0.00114
HARPSpre  2456085.75829  0.47133  0.00108
HARPSpre  2456087.76372  0.47267  0.00116
HARPSpre  2456088.80523  0.47133  0.00094
HARPSpre  2456089.68249  0.47030  0.00100
HARPSpre  2456094.77752  0.47471  0.00109
HARPSpre  2456102.58682  0.47259  0.00108
HARPSpre  2456117.54847  0.48388  0.00118
HARPSpre  2456357.90332  0.47662  0.00128
HARPSpre  2456360.89397  0.47764  0.00120
HARPSpre  2456361.89476  0.48068  0.00129
HARPSpre  2456363.90598  0.48509  0.00100
HARPSpre  2456364.89363  0.47481  0.00102
HARPSpre  2456365.88752  0.47824  0.00099
HARPSpre  2456367.90444  0.47908  0.00101
HARPSpre  2456368.89255  0.47614  0.00098
HARPSpre  2456369.90883  0.48045  0.00111
HARPSpre  2456371.91332  0.47674  0.00121
HARPSpre  2456372.90424  0.47578  0.00108
HARPSpre  2456373.89783  0.47760  0.00123
HARPSpre  2456417.93651  0.47752  0.00126
HARPSpre  2456418.90702  0.47631  0.00127
HARPSpre  2456419.79932  0.47672  0.00127
HARPSpre  2456420.80737  0.48240  0.00118
HARPSpre  2456421.92563  0.48741  0.00133
HARPSpre  2456422.92756  0.51202  0.00092
HARPSpre  2456423.83528  0.50089  0.00112
HARPSpre  2456424.66066  0.47764  0.00122
HARPSpre  2456426.83158  0.48201  0.00120
HARPSpre  2456427.90380  0.48364  0.00110
HARPSpre  2456428.91438  0.49092  0.00112
HIRES     2453237.89109  0.47959  0.00087
HIRES     2453301.74204  0.48069  0.00101
HIRES     2453550.91355  0.48467  0.00091
HIRES     2453602.85219  0.49322  0.00063
HIRES     2453807.12469  0.48241  0.00115
HIRES     2453926.95852  0.49519  0.00106
HIRES     2453933.85067  0.49189  0.00076
HIRES     2453934.81903  0.49330  0.00057
HIRES     2453960.89865  0.49827  0.00059
HIRES     2453961.85943  0.49134  0.00115
HIRES     2453962.80777  0.48940  0.00068
HIRES     2453963.83291  0.49015  0.00081
HIRES     2454247.03490  0.49195  0.00052
HIRES     2454248.12638  0.49857  0.00082
HIRES     2454249.97027  0.49283  0.00065
HIRES     2454251.01231  0.49584  0.00071
HIRES     2454251.97399  0.49229  0.00073
HIRES     2454256.00519  0.49718  0.00089
HIRES     2454278.97111  0.48615  0.00059
HIRES     2454285.97532  0.47656  0.00075
HIRES     2454304.96059  0.48302  0.00090
HIRES     2454305.96227  0.49196  0.00060
HIRES     2454306.93872  0.47507  0.00115
HIRES     2454307.98903  0.47571  0.00108
HIRES     2454308.95786  0.48041  0.00113
HIRES     2454309.95411  0.47979  0.00115
HIRES     2454310.94662  0.47894  0.00131
HIRES     2454311.94464  0.47608  0.00134
HIRES     2454312.94022  0.47594  0.00143
HIRES     2454313.93723  0.48112  0.00096
HIRES     2454314.97792  0.47943  0.00073
HIRES     2454318.84869  0.48464  0.00157
HIRES     2454335.85366  0.47660  0.00094
HIRES     2454336.88714  0.48541  0.00086
HIRES     2454337.83452  0.48191  0.00152
HIRES     2454338.88034  0.48332  0.00104
HIRES     2454343.81304  0.47788  0.00117
HIRES     2454344.93705  0.48039  0.00094
HIRES     2454396.70932  0.49280  0.00081
HIRES     2454399.73488  0.49492  0.00080
HIRES     2454633.89999  0.47600  0.00084
HIRES     2455463.78971  0.48939  0.00132
HIRES     2455609.16581  0.49061  0.00095
HIRES     2455638.07510  0.47735  0.00106
HIRES     2455665.02443  0.47411  0.00116
HIRES     2455670.05167  0.49536  0.00075
HIRES     2455720.02477  0.49259  0.00098
HIRES     2455749.97873  0.49498  0.00073
HIRES     2455824.75763  0.48541  0.00089
HIRES     2455839.74705  0.49570  0.00070
HIRES     2454717.75225  0.48084  0.00109
HIRES     2454718.75463  0.49550  0.00059
HIRES     2454719.77178  0.48265  0.00105
HIRES     2454723.75848  0.48515  0.00083
HIRES     2454724.76413  0.47412  0.00090
HIRES     2454930.05620  0.49033  0.00085
HIRES     2455607.13942  0.50861  0.00122
HIRES     2455608.12550  0.48656  0.00102
HIRES     2455614.15954  0.47325  0.00110
HIRES     2455634.09232  0.48506  0.00086
HIRES     2455635.11458  0.47330  0.00105
HIRES     2455636.15043  0.50133  0.00117
HIRES     2455637.12060  0.48575  0.00119
HIRES     2455668.03090  0.47649  0.00112
HIRES     2455671.06971  0.48025  0.00075
HIRES     2455671.99600  0.47826  0.00079
HIRES     2455672.97787  0.47795  0.00108
HIRES     2455673.96678  0.50481  0.00096
HIRES     2455697.12781  0.49085  0.00117
HIRES     2455697.88552  0.49242  0.00075
HIRES     2455699.88262  0.50269  0.00111
HIRES     2455704.86933  0.49388  0.00089
HIRES     2455705.86311  0.49622  0.00067
HIRES     2455707.86373  0.49311  0.00111
HIRES     2455723.02287  0.48974  0.00114
HIRES     2455723.87029  0.48553  0.00076
HIRES     2455726.94425  0.47329  0.00083
HIRES     2455733.83426  0.47937  0.00067
HIRES     2455734.88248  0.48606  0.00091
HIRES     2455735.84993  0.48148  0.00117
HIRES     2455751.77095  0.46612  0.00085
HIRES     2455759.77037  0.47517  0.00083
HIRES     2455760.76052  0.46843  0.00106
HIRES     2455761.79157  0.47655  0.00104
HIRES     2455762.83271  0.47413  0.00113
HIRES     2455763.77752  0.47300  0.00118
HIRES     2455768.75479  0.47180  0.00095
HIRES     2455769.76487  0.47389  0.00106
HIRES     2455770.77190  0.47004  0.00086
HIRES     2455781.75977  0.46943  0.00089
HIRES     2455787.88740  0.46725  0.00093
HIRES     2455788.91751  0.46940  0.00086
HIRES     2455789.78086  0.47492  0.00083
HIRES     2455790.84818  0.47083  0.00096
HIRES     2455791.90215  0.47042  0.00068
