#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-10-25T18:42:21 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-10-25T18:42:21	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/A+A/678/A90/hd99492
#-nav=cat:J/A+A/678/A90&tab:{J/A+A/678/A90/hd99492}&key:source=J/A+A/678/A90/hd99492&HTTPPRM:&&-ref=VIZ653955ee17dd09&-out.max=unlimited&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=BJD&-out=RV&-out=e_RV&-out=SMW&-out=e_SMW&-out=FWHM&-out=e_FWHM&-out=Cont&-out=e_Cont&-out=Ha&-out=e_Ha&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+A/678/A90/hd99492
#-source=J/A+A/678/A90/hd99492
#-out=BJD
#-out=RV
#-out=e_RV
#-out=SMW
#-out=e_SMW
#-out=FWHM
#-out=e_FWHM
#-out=Cont
#-out=e_Cont
#-out=Ha
#-out=e_Ha
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=unlimited	

#RESOURCE=yCat_36780090
#Name: J/A+A/678/A90
#Title: HD99492, HD147379 and HD190007 HARPS-N data (Stalport+, 2023)
#INFO	ivoid=ivo://cds.vizier/j/a+a/678/a90	
#INFO	publisher=CDS	
#INFO	creator=Stalport M.	
#INFO	related_resource=bibcode:2023A&A...678A..90S	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/678/A90	
#INFO	publication_date=2023-10-10	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_678_A90_hd99492:
#Name: J/A+A/678/A90/hd99492
#Title: HD 99492 radial velocity measurements
#Column	BJD	(F11.5)	Barycentric Julian Date of observation (BJD-2400000)	[ucd=time.epoch]
#Column	RV	(F6.2)	Radial velocity (YARARA-V1)	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F5.2)	Radial velocity uncertainty	[ucd=stat.error]
#Column	SMW	(F10.7)	S-index	[ucd=phot.flux;arith.ratio]
#Column	e_SMW	(F10.7)	S-index uncertainty	[ucd=stat.error]
#Column	FWHM	(F10.7)	Full width at half maximum of the cross-correlation function	[ucd=spect.line.width]
#Column	e_FWHM	(F10.7)	FWHM uncertainty	[ucd=stat.error;phys.angSize]
#Column	Cont	(F10.7)	Contrast	[ucd=phot.flux;arith.ratio]
#Column	e_Cont	(F10.7)	Contrast uncertainty	[ucd=stat.error]
#Column	Ha	(F10.7)	H-alpha	[ucd=spect.index;em.line.Halpha]
#Column	e_Ha	(F10.7)	H-alpha uncertainty	[ucd=stat.error]
BJD	RV	e_RV	SMW	e_SMW	FWHM	e_FWHM	Cont	e_Cont	Ha	e_Ha
57048.69830	 -6.88	 0.26	 0.1101814	 0.0004489	 6.0310304	 0.0008564	 0.5983490	 0.0000833	 0.2582576	 0.0003343
57051.67784	 -0.63	 0.28	 0.0923476	 0.0006783	 6.0239207	 0.0008970	 0.5990838	 0.0000873	 0.2575532	 0.0004728
57053.71662	  1.84	 0.24	 0.0900891	 0.0004107	 6.0236220	 0.0007919	 0.5988810	 0.0000770	 0.2588945	 0.0003316
57054.70003	  2.15	 0.23	 0.0875835	 0.0002802	 6.0217580	 0.0007478	 0.5987271	 0.0000727	 0.2582315	 0.0002620
57107.57510	  9.75	 0.20	 0.0848114	 0.0003076	 6.0256277	 0.0006624	 0.5989123	 0.0000644	 0.2596431	 0.0002479
57161.43271	 -0.13	 0.22	 0.1091116	 0.0002143	 6.0340647	 0.0007040	 0.5983841	 0.0000685	 0.2589465	 0.0002023
57180.46017	 -7.87	 0.29	 0.0793955	 0.0005744	 6.0234219	 0.0009314	 0.5990202	 0.0000906	 0.2573923	 0.0004318
57379.73609	  6.59	 0.21	 0.1126297	 0.0002189	 6.0317947	 0.0006708	 0.5981610	 0.0000653	 0.2591626	 0.0002203
57380.79514	  5.60	 0.25	 0.1040307	 0.0003442	 6.0301103	 0.0008081	 0.5985074	 0.0000786	 0.2595783	 0.0003062
57382.73071	  0.91	 0.27	 0.0949962	 0.0003965	 6.0271251	 0.0008650	 0.5989564	 0.0000841	 0.2582751	 0.0003529
57384.69261	 -1.43	 0.26	 0.0744382	 0.0004274	 6.0187273	 0.0008377	 0.5992054	 0.0000815	 0.2579962	 0.0004278
57385.66095	 -5.71	 0.30	 0.0624248	 0.0005002	 6.0170019	 0.0009695	 0.5991440	 0.0000943	 0.2574286	 0.0003845
57407.71216	 -0.90	 0.21	 0.0633382	 0.0002352	 6.0172273	 0.0006665	 0.5991616	 0.0000648	 0.2575072	 0.0002582
57408.63357	  0.89	 0.21	 0.0657369	 0.0002986	 6.0183139	 0.0006727	 0.5990987	 0.0000654	 0.2570844	 0.0003081
57411.60319	  5.83	 0.46	 0.0571305	 0.0007277	 6.0153219	 0.0014951	 0.5996973	 0.0001454	 0.2586156	 0.0005007
57412.70001	  9.97	 0.26	 0.0620093	 0.0003624	 6.0167423	 0.0008320	 0.5993252	 0.0000809	 0.2583564	 0.0002409
57413.64264	  9.77	 0.29	 0.0651358	 0.0004543	 6.0195533	 0.0009568	 0.5993731	 0.0000931	 0.2579207	 0.0003126
57414.56185	  8.57	 0.45	 0.0508047	 0.0005265	 6.0130796	 0.0014616	 0.5993063	 0.0001422	 0.2585119	 0.0004100
57432.60836	  3.52	 0.18	 0.0539472	 0.0002834	 6.0142175	 0.0005970	 0.5995583	 0.0000581	 0.2592524	 0.0002117
57433.62584	 -0.16	 0.23	 0.0445640	 0.0003165	 6.0126325	 0.0007479	 0.5996155	 0.0000727	 0.2592805	 0.0002889
57436.61165	 -5.16	 0.19	 0.0388478	 0.0002294	 6.0106034	 0.0006140	 0.5997232	 0.0000597	 0.2581220	 0.0002551
57502.51100	  2.87	 0.22	 0.0137678	 0.0003184	 6.0009080	 0.0007000	 0.6004854	 0.0000681	 0.2576335	 0.0003230
57527.44605	 -3.05	 0.19	 0.0507518	 0.0004204	 6.0171864	 0.0006232	 0.5996559	 0.0000606	 0.2591045	 0.0003310
57528.46686	  1.15	 0.20	 0.0535857	 0.0003263	 6.0171042	 0.0006374	 0.5994882	 0.0000620	 0.2596034	 0.0002855
57530.48325	  4.58	 0.44	 0.0557521	 0.0008208	 6.0200066	 0.0014208	 0.5996708	 0.0001382	 0.2561370	 0.0005797
57531.37463	  3.51	 0.30	 0.0650305	 0.0005296	 6.0201580	 0.0009685	 0.5994102	 0.0000942	 0.2574481	 0.0004132
57749.73707	 -8.87	 0.17	 0.0221701	 0.0002059	 6.0046219	 0.0005421	 0.6000761	 0.0000527	 0.2585177	 0.0002449
57750.73339	 -4.42	 0.26	 0.0239257	 0.0004025	 6.0061248	 0.0008539	 0.6004282	 0.0000831	 0.2585377	 0.0003163
57751.78677	 -0.84	 0.25	 0.0333832	 0.0003587	 6.0093138	 0.0008158	 0.5999430	 0.0000794	 0.2600367	 0.0003397
57752.78932	  2.25	 0.29	 0.0286431	 0.0006307	 6.0095731	 0.0009400	 0.5999812	 0.0000914	 0.2593491	 0.0004771
57753.75811	  4.01	 0.30	 0.0394497	 0.0006410	 6.0128633	 0.0009665	 0.5997597	 0.0000940	 0.2598095	 0.0005055
57754.74896	  6.99	 0.27	 0.0433133	 0.0004766	 6.0162014	 0.0008768	 0.5996641	 0.0000853	 0.2595812	 0.0004630
57756.78492	  6.02	 0.27	 0.0464902	 0.0003785	 6.0160794	 0.0008913	 0.5995082	 0.0000867	 0.2591074	 0.0003583
57757.71841	  3.12	 0.20	 0.0410195	 0.0002572	 6.0136176	 0.0006365	 0.5996336	 0.0000619	 0.2591750	 0.0002515
57763.72504	-11.19	 0.17	 0.0184495	 0.0002151	 6.0030351	 0.0005481	 0.6002199	 0.0000533	 0.2583695	 0.0002501
57764.72569	-10.55	 0.27	-0.0113542	 0.0004646	 5.9952374	 0.0008716	 0.6011768	 0.0000848	 0.2566399	 0.0003715
57771.67592	  5.01	 0.17	-0.0239252	 0.0001931	 5.9899490	 0.0005585	 0.6009319	 0.0000543	 0.2572406	 0.0002112
57772.69191	  3.59	 0.17	-0.0219620	 0.0001687	 5.9913154	 0.0005615	 0.6009276	 0.0000546	 0.2584478	 0.0001887
57804.55162	  3.65	 0.30	 0.0020708	 0.0004559	 5.9985181	 0.0009791	 0.6009164	 0.0000952	 0.2562081	 0.0004369
57861.46231	 -3.84	 0.20	-0.0357595	 0.0002613	 5.9869875	 0.0006591	 0.6013337	 0.0000641	 0.2573420	 0.0002520
58111.65679	  3.59	 0.30	-0.0391395	 0.0006237	 5.9896927	 0.0009591	 0.6008990	 0.0000933	 0.2573761	 0.0003736
58121.71523	-12.21	 0.42	-0.0320822	 0.0007160	 5.9875296	 0.0013686	 0.6017289	 0.0001331	 0.2557325	 0.0005785
58122.76334	-10.11	 0.28	-0.0086585	 0.0005070	 5.9952899	 0.0008999	 0.6010857	 0.0000875	 0.2560866	 0.0004720
58131.71241	  0.08	 0.16	-0.0151225	 0.0002159	 5.9942222	 0.0005184	 0.6009464	 0.0000504	 0.2564370	 0.0001987
58137.75149	-12.11	 0.25	-0.0201220	 0.0008420	 5.9921751	 0.0007967	 0.6010954	 0.0000775	 0.2563653	 0.0004255
58145.67484	 -0.08	 0.39	-0.0429103	 0.0009221	 5.9856645	 0.0012610	 0.6018564	 0.0001227	 0.2558352	 0.0006096
58147.62686	  2.08	 0.33	-0.0152981	 0.0008232	 5.9915000	 0.0010605	 0.6009393	 0.0001032	 0.2566436	 0.0003857
58184.62424	  1.21	 0.15	-0.0286864	 0.0002950	 5.9908690	 0.0004848	 0.6010204	 0.0000472	 0.2566629	 0.0002231
58185.55743	 -0.93	 0.16	-0.0248566	 0.0002795	 5.9916731	 0.0005060	 0.6010167	 0.0000492	 0.2565323	 0.0002323
58188.64624	 -7.27	 0.19	-0.0292621	 0.0002223	 5.9889069	 0.0006150	 0.6009972	 0.0000598	 0.2572976	 0.0002001
58189.56560	 -7.64	 0.14	-0.0236197	 0.0002534	 5.9912137	 0.0004597	 0.6008641	 0.0000447	 0.2568315	 0.0002039
58190.53947	 -8.17	 0.16	-0.0336952	 0.0001826	 5.9884809	 0.0005134	 0.6012405	 0.0000499	 0.2569768	 0.0001758
58214.49706	  3.58	 0.21	-0.0299432	 0.0001674	 5.9895589	 0.0006777	 0.6011738	 0.0000659	 0.2559994	 0.0001918
58216.52160	  1.02	 0.24	-0.0201309	 0.0003551	 5.9920195	 0.0007702	 0.6008562	 0.0000749	 0.2550347	 0.0003037
58233.50658	  5.74	 0.16	-0.0214864	 0.0002632	 5.9931197	 0.0005223	 0.6010276	 0.0000508	 0.2569093	 0.0002138
58235.50784	 -1.35	 0.24	-0.0236954	 0.0002329	 5.9905314	 0.0007670	 0.6010819	 0.0000746	 0.2580076	 0.0002320
58236.49748	 -4.44	 0.19	-0.0216293	 0.0002212	 5.9919076	 0.0006062	 0.6009467	 0.0000590	 0.2561959	 0.0002376
58239.42124	-10.74	 0.25	-0.0482635	 0.0003127	 5.9828024	 0.0008107	 0.6016421	 0.0000789	 0.2576386	 0.0003010
58248.46576	  4.25	 0.15	-0.0723235	 0.0001884	 5.9776083	 0.0004886	 0.6021564	 0.0000475	 0.2547104	 0.0002253
58249.43553	  4.96	 0.28	-0.0640309	 0.0002281	 5.9794672	 0.0009092	 0.6019691	 0.0000884	 0.2558399	 0.0002547
58251.45722	  3.20	 0.16	-0.0586133	 0.0002636	 5.9809176	 0.0005213	 0.6018208	 0.0000507	 0.2556028	 0.0002475
58252.42869	  1.41	 0.13	-0.0522232	 0.0001635	 5.9837458	 0.0004342	 0.6016307	 0.0000422	 0.2558052	 0.0001862
58253.43122	 -1.59	 0.26	-0.0451695	 0.0002164	 5.9844941	 0.0008364	 0.6015357	 0.0000814	 0.2554845	 0.0002199
58277.38237	 -3.21	 0.20	 0.0027536	 0.0001780	 5.9971183	 0.0006590	 0.6002425	 0.0000641	 0.2572058	 0.0002368
58279.38369	 -0.62	 0.31	-0.0152965	 0.0002104	 5.9931024	 0.0010013	 0.6008900	 0.0000974	 0.2579808	 0.0003154
58280.38714	  1.64	 0.20	-0.0242741	 0.0002073	 5.9895657	 0.0006368	 0.6009099	 0.0000619	 0.2573219	 0.0002344
58477.71866	 -7.85	 0.27	-0.0403261	 0.0003919	 5.9880241	 0.0008839	 0.6015559	 0.0000860	 0.2562563	 0.0004144
58487.73656	  0.74	 0.27	-0.0329163	 0.0002557	 5.9884682	 0.0008627	 0.6013331	 0.0000839	 0.2571841	 0.0002967
58488.73858	  1.91	 0.23	-0.0293117	 0.0002979	 5.9891116	 0.0007582	 0.6014660	 0.0000738	 0.2573912	 0.0002668
58489.74172	 -0.08	 0.22	-0.0298074	 0.0003228	 5.9916024	 0.0007120	 0.6014509	 0.0000693	 0.2561977	 0.0003586
58502.67868	 -2.69	 0.24	-0.0577482	 0.0003171	 5.9796301	 0.0007950	 0.6020064	 0.0000773	 0.2568685	 0.0003220
58503.68833	 -0.52	 0.23	-0.0614989	 0.0001773	 5.9764747	 0.0007510	 0.6018737	 0.0000731	 0.2561806	 0.0001834
58504.68399	 -0.36	 0.27	-0.0683919	 0.0002919	 5.9776850	 0.0008790	 0.6020669	 0.0000855	 0.2564117	 0.0002400
58506.70615	 -1.61	 0.25	-0.0628251	 0.0004525	 5.9796157	 0.0008113	 0.6022201	 0.0000789	 0.2557893	 0.0003261
58518.66560	 -1.57	 0.36	-0.0479486	 0.0006296	 5.9847747	 0.0011555	 0.6018686	 0.0001124	 0.2565652	 0.0004895
58520.66923	  3.96	 0.15	-0.0466702	 0.0001874	 5.9830619	 0.0004720	 0.6015181	 0.0000459	 0.2560041	 0.0002044
58521.68690	  4.20	 0.16	-0.0485641	 0.0001505	 5.9839334	 0.0005158	 0.6016033	 0.0000502	 0.2562608	 0.0001713
58523.72382	  1.94	 0.19	-0.0464726	 0.0001916	 5.9854121	 0.0006035	 0.6016520	 0.0000587	 0.2561354	 0.0002182
58524.61769	  0.88	 0.22	-0.0484467	 0.0002306	 5.9828460	 0.0007068	 0.6016891	 0.0000688	 0.2556159	 0.0002583
58525.72661	 -1.55	 0.41	-0.0411230	 0.0005630	 5.9893780	 0.0013323	 0.6017035	 0.0001296	 0.2550318	 0.0004918
58526.64305	 -4.45	 0.20	-0.0485801	 0.0002184	 5.9827570	 0.0006396	 0.6017840	 0.0000622	 0.2549955	 0.0002660
58527.60716	 -7.44	 0.17	-0.0436546	 0.0002302	 5.9860446	 0.0005492	 0.6016172	 0.0000534	 0.2551432	 0.0002702
58528.63638	 -9.46	 0.22	-0.0437420	 0.0002645	 5.9837655	 0.0007114	 0.6015638	 0.0000692	 0.2555100	 0.0002857
58531.66862	 -9.14	 0.31	-0.0484520	 0.0003704	 5.9812120	 0.0010162	 0.6019492	 0.0000989	 0.2556045	 0.0004094
58536.51862	  4.09	 0.34	-0.0390971	 0.0004573	 5.9867667	 0.0010978	 0.6016441	 0.0001068	 0.2559061	 0.0004554
58537.54564	  6.68	 0.27	-0.0385008	 0.0005588	 5.9854675	 0.0008692	 0.6016213	 0.0000846	 0.2564182	 0.0004612
58538.54996	  8.99	 0.26	-0.0389473	 0.0004373	 5.9862095	 0.0008457	 0.6016128	 0.0000823	 0.2557419	 0.0004597
58539.59711	  7.84	 0.20	-0.0425065	 0.0002649	 5.9853484	 0.0006613	 0.6015078	 0.0000643	 0.2560605	 0.0003177
58540.66166	  6.57	 0.30	-0.0315332	 0.0004664	 5.9886236	 0.0009746	 0.6015030	 0.0000948	 0.2563390	 0.0004591
58544.56115	 -5.81	 0.17	-0.0565669	 0.0002093	 5.9793226	 0.0005655	 0.6019073	 0.0000550	 0.2569005	 0.0002417
58545.58223	 -7.84	 0.20	-0.0602434	 0.0003059	 5.9796088	 0.0006610	 0.6020045	 0.0000643	 0.2554451	 0.0002625
58546.59490	 -9.48	 0.34	-0.0563000	 0.0003318	 5.9786366	 0.0011209	 0.6020730	 0.0001090	 0.2560304	 0.0002941
58547.60850	 -9.74	 0.25	-0.0623240	 0.0002129	 5.9798433	 0.0008017	 0.6018968	 0.0000780	 0.2559137	 0.0002053
58561.52283	 -4.57	 0.24	-0.0464913	 0.0002812	 5.9822329	 0.0007691	 0.6018874	 0.0000748	 0.2554619	 0.0002802
58562.51340	 -7.96	 0.33	-0.0427408	 0.0003311	 5.9807009	 0.0010852	 0.6018927	 0.0001056	 0.2568396	 0.0003173
58563.50601	 -9.35	 0.29	-0.0356964	 0.0002092	 5.9846346	 0.0009309	 0.6014738	 0.0000906	 0.2564924	 0.0002544
58564.51762	 -7.21	 0.30	-0.0421211	 0.0004819	 5.9867710	 0.0009727	 0.6019118	 0.0000946	 0.2555204	 0.0003849
58565.48556	 -6.29	 0.19	-0.0385566	 0.0002875	 5.9873119	 0.0006067	 0.6016421	 0.0000590	 0.2558095	 0.0002891
58566.48798	 -6.36	 0.16	-0.0299272	 0.0002238	 5.9901612	 0.0005178	 0.6013974	 0.0000504	 0.2562580	 0.0002573
58591.50477	 -0.78	 0.30	-0.0607077	 0.0002048	 5.9784195	 0.0009702	 0.6020062	 0.0000944	 0.2560897	 0.0002173
58592.45982	 -1.30	 0.27	-0.0590065	 0.0002444	 5.9797721	 0.0008632	 0.6020753	 0.0000840	 0.2562580	 0.0002592
58593.47110	 -2.76	 0.20	-0.0644693	 0.0002149	 5.9777794	 0.0006505	 0.6021962	 0.0000633	 0.2563099	 0.0002205
58595.49204	 -6.91	 0.15	-0.0592280	 0.0001940	 5.9828277	 0.0004994	 0.6019196	 0.0000486	 0.2558869	 0.0001962
58596.47152	 -9.68	 0.32	-0.0568403	 0.0002612	 5.9827448	 0.0010266	 0.6018294	 0.0000999	 0.2552217	 0.0002411
58597.46537	-10.21	 0.24	-0.0524722	 0.0002145	 5.9839092	 0.0007687	 0.6017646	 0.0000748	 0.2555602	 0.0002038
58598.43220	-11.53	 0.14	-0.0550711	 0.0001336	 5.9824793	 0.0004525	 0.6016476	 0.0000440	 0.2558782	 0.0001551
58611.44841	 -1.94	 0.21	-0.0425077	 0.0002603	 5.9855272	 0.0006841	 0.6014805	 0.0000666	 0.2550791	 0.0002526
58612.47060	 -5.44	 0.16	-0.0434579	 0.0001465	 5.9842031	 0.0005135	 0.6014927	 0.0000499	 0.2557933	 0.0001810
58613.47314	 -8.86	 0.19	-0.0451139	 0.0002100	 5.9840898	 0.0006073	 0.6016285	 0.0000591	 0.2556890	 0.0001823
58614.44273	 -9.79	 0.24	-0.0404606	 0.0002230	 5.9856448	 0.0007670	 0.6015662	 0.0000746	 0.2560964	 0.0001953
58615.43932	-10.56	 0.13	-0.0386517	 0.0001526	 5.9853215	 0.0004146	 0.6014285	 0.0000403	 0.2560138	 0.0001675
58616.41531	 -9.83	 0.26	-0.0381518	 0.0002231	 5.9847468	 0.0008351	 0.6014897	 0.0000812	 0.2565462	 0.0002409
58617.45775	 -8.01	 0.18	-0.0348653	 0.0002284	 5.9875809	 0.0005812	 0.6015068	 0.0000565	 0.2568236	 0.0002066
58618.41045	 -6.03	 0.22	-0.0285143	 0.0002674	 5.9880458	 0.0007076	 0.6013082	 0.0000688	 0.2568717	 0.0002834
58829.77228	  6.75	 0.28	-0.0163345	 0.0004212	 5.9966724	 0.0009240	 0.6015880	 0.0000899	 0.2575908	 0.0003399
