#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-06-28T03:45:36 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ60d9427d38cc83	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/AJ/153/208/table1
#-nav=cat:J/AJ/153/208&tab:{J/AJ/153/208/table1}&key:source=J/AJ/153/208/table1&HTTPPRM:&&-ref=VIZ60d9427d38cc83&-out.max=unlimited&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=Name&Name=HD34411&-out=BJD&-out=RV&-out=e_RV&-out=S&-out=H&-out=Count&-out=Exp&-out=Nrv&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/153/208/table1
#-source=J/AJ/153/208/table1
#-out=Name
#Name=HD34411
#-out=BJD
#-out=RV
#-out=e_RV
#-out=S
#-out=H
#-out=Count
#-out=Exp
#-out=Nrv
#

#RESOURCE=yCat_51530208
#Name: J/AJ/153/208
#Title: LCES HIRES/Keck radial velocity Exoplanet Survey (Butler+, 2017)
#Table	J_AJ_153_208_table1:
#Name: J/AJ/153/208/table1
#Title: Radial velocities and chromospheric activity indices of all program stars (corrected velocities in Tal-Or et al, 2019, Cat. J/MNRAS/484/L8)
#Column	Name	(a14)	Target identifier	[ucd=meta.id;meta.main]
#Column	BJD	(F13.5)	Barycentric Julian Date	[ucd=time.epoch]
#Column	RV	(F9.2)	[-39874.3/42363.6] Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F6.2)	[0.01/252.9] 1{sigma} uncertainty in RV	[ucd=stat.error]
#Column	S	(F7.4)	[-5.5/68.9] Chromosperic activity index S-index (1)	[ucd=spect.index]
#Column	H	(F8.5)	[-1/0.11]? Chromosperic activity index H-index (2)	[ucd=spect.index]
#Column	Count	(I6)	[67/616935] Median photons per pixel	[ucd=phot.count;arith.ratio]
#Column	Exp	(I4)	[-1/2551] Exposure time	[ucd=time.duration;obs.exposure]
#Column	Nrv	(I3)	Number of radial velocity measurements (table1) [NULL integer written as an empty string]	[ucd=meta.number]
Name	BJD	RV	e_RV	S	H	Count	Exp	Nrv
HD34411       	2454819.93748	     3.31	  1.22	 0.1465	 0.03031	 71121	  10	183
HD34411       	2454821.01266	     2.70	  1.32	 0.1413	 0.03037	 77672	  10	183
HD34411       	2454822.95550	     1.01	  1.19	 0.1409	 0.03031	 80682	  10	183
HD34411       	2454934.74849	     2.33	  1.48	 0.1390	 0.03027	 46854	  10	183
HD34411       	2455074.14424	    -1.68	  1.35	 0.1337	 0.03036	 53571	   5	183
HD34411       	2455077.14686	    -1.08	  1.27	 0.1330	 0.03040	 57628	   5	183
HD34411       	2455078.14823	    -4.71	  1.40	 0.1211	 0.03029	 45338	   5	183
HD34411       	2455079.06745	    -4.29	  1.19	 0.1386	 0.03029	 50179	   5	183
HD34411       	2455081.07469	     5.15	  1.32	 0.1354	 0.03033	 42675	   6	183
HD34411       	2455081.14781	     2.28	  1.25	 0.1334	 0.03039	 46438	   2	183
HD34411       	2455083.14845	    -0.60	  1.29	 0.1341	 0.03043	 53645	   7	183
HD34411       	2455085.10531	    -1.24	  1.23	 0.1350	 0.03045	 52837	   5	183
HD34411       	2455110.04764	     6.75	  2.89	 0.1420	 0.03052	  8974	 239	183
HD34411       	2455110.07332	     3.37	  1.89	 0.1357	 0.03025	 37543	 340	183
HD34411       	2455134.06182	    -3.00	  1.53	 0.1348	 0.03047	 35714	   3	183
HD34411       	2455135.05920	    -1.58	  1.31	 0.1299	 0.03041	 57161	   6	183
HD34411       	2455172.10786	     3.74	  1.53	 0.1443	 0.03033	 50693	   8	183
HD34411       	2455198.92044	    -2.54	  1.50	 0.1322	 0.03051	 50411	   6	183
HD34411       	2455198.92104	    -3.39	  1.31	 0.1375	 0.03060	 60189	   6	183
HD34411       	2455198.92162	    -3.68	  1.36	 0.1416	 0.03052	 57422	   6	183
HD34411       	2455321.72293	     3.18	  1.36	 0.1323	 0.03034	 48150	   9	183
HD34411       	2455440.12617	     0.91	  1.24	 0.1340	 0.03039	 56779	   6	183
HD34411       	2455633.71434	    -2.73	  1.32	 0.1320	 0.03053	 52215	   6	183
HD34411       	2455634.71227	    -3.21	  1.38	 0.1323	 0.03055	 56911	   6	183
HD34411       	2455636.71488	    -4.17	  1.29	 0.1390	 0.03058	 60757	   6	183
HD34411       	2455807.13313	    -4.67	  1.22	 0.1456	 0.03030	 52075	   8	183
HD34411       	2455809.14920	    -3.35	  1.08	 0.1330	 0.03033	 53371	   5	183
HD34411       	2455810.15098	    -2.46	  1.36	 0.1303	 0.03040	 54003	   5	183
HD34411       	2455811.14707	     5.51	  1.21	 0.1225	 0.03036	 48578	   5	183
HD34411       	2455812.14632	    -3.32	  1.22	 0.1327	 0.03041	 53390	   4	183
HD34411       	2455815.14909	     2.05	  1.49	 0.1340	 0.03039	 46216	   4	183
HD34411       	2455826.06861	    -0.54	  1.12	 0.1335	 0.03035	 81823	  10	183
HD34411       	2455826.06923	     2.68	  0.99	 0.1316	 0.03030	 83154	  11	183
HD34411       	2455826.06986	     2.00	  1.10	 0.1328	 0.03033	 84185	  11	183
HD34411       	2455826.07049	     0.06	  1.11	 0.1343	 0.03023	 74362	   8	183
HD34411       	2455826.07112	     3.89	  1.19	 0.1305	 0.03033	 81231	  12	183
HD34411       	2455826.07176	     2.43	  1.21	 0.1310	 0.03031	 75847	  10	183
HD34411       	2455840.07969	     3.25	  1.30	 0.1350	 0.03035	 82521	   9	183
HD34411       	2455840.08031	     0.27	  1.19	 0.1347	 0.03038	 77849	   9	183
HD34411       	2455840.08093	    -1.74	  1.17	 0.1329	 0.03030	 81671	  11	183
HD34411       	2455840.08157	    -5.60	  1.19	 0.1332	 0.03030	 77892	  11	183
HD34411       	2455840.08223	    -1.34	  1.16	 0.1340	 0.03034	 78773	  12	183
HD34411       	2455840.08285	    -0.25	  1.25	 0.1337	 0.03040	 71773	   7	183
HD34411       	2455841.01608	     3.12	  1.08	 0.1347	 0.03032	 76109	  15	183
HD34411       	2455841.01677	     3.89	  1.24	 0.1363	 0.03030	 73929	  15	183
HD34411       	2455841.01747	     1.01	  1.19	 0.1334	 0.03030	 74308	  13	183
HD34411       	2455841.01816	    -0.19	  1.32	 0.1337	 0.03029	 76669	  18	183
HD34411       	2455841.01887	    -0.06	  1.31	 0.1364	 0.03028	 77237	  16	183
HD34411       	2455841.01959	    -0.59	  1.32	 0.1363	 0.03030	 74870	  20	183
HD34411       	2455852.15436	    -2.28	  1.42	 0.1317	 0.03040	 51741	   5	183
HD34411       	2455875.07627	     2.75	  1.31	 0.1339	 0.03039	 78173	   9	183
HD34411       	2455875.07689	    -1.90	  1.25	 0.1328	 0.03038	 75613	   9	183
HD34411       	2455875.07750	    -1.39	  1.30	 0.1349	 0.03044	 80681	   9	183
HD34411       	2455875.07811	     0.01	  1.37	 0.1348	 0.03036	 82101	   9	183
HD34411       	2455875.07873	     0.17	  1.24	 0.1318	 0.03043	 80417	   9	183
HD34411       	2455875.07935	     2.43	  1.21	 0.1349	 0.03041	 77306	  10	183
HD34411       	2455875.97532	     0.87	  1.12	 0.1375	 0.03045	 80357	   8	183
HD34411       	2455875.97593	    -1.78	  1.28	 0.1337	 0.03042	 78907	   8	183
HD34411       	2455875.97655	    -4.93	  1.32	 0.1346	 0.03045	 85870	   9	183
HD34411       	2455875.97715	     0.43	  1.19	 0.1337	 0.03045	 77910	   9	183
HD34411       	2455875.97775	    -1.07	  1.24	 0.1359	 0.03038	 79768	   8	183
HD34411       	2455875.97838	     1.73	  1.20	 0.1364	 0.03040	 78100	   9	183
HD34411       	2455876.94969	    -2.60	  1.19	 0.1336	 0.03032	 81640	  12	183
HD34411       	2455876.95031	     1.47	  1.16	 0.1379	 0.03035	 80770	   9	183
HD34411       	2455876.95093	     0.52	  1.31	 0.1345	 0.03033	 76560	   9	183
HD34411       	2455876.95153	    -0.42	  1.19	 0.1375	 0.03043	 81564	   8	183
HD34411       	2455876.95214	    -1.27	  1.22	 0.1331	 0.03033	 80520	   9	183
HD34411       	2455876.95277	     4.31	  1.21	 0.1371	 0.03041	 79178	   9	183
HD34411       	2455911.09453	     2.62	  1.10	 0.1371	 0.03042	 79161	  11	183
HD34411       	2455911.09515	     2.10	  1.31	 0.1426	 0.03039	 78632	  12	183
HD34411       	2455911.09577	     2.16	  1.21	 0.1435	 0.03033	 74593	  10	183
HD34411       	2455911.09641	     1.11	  1.23	 0.1426	 0.03040	 79679	  13	183
HD34411       	2455911.09703	     2.40	  1.15	 0.1413	 0.03036	 72368	   9	183
HD34411       	2455911.09764	     3.48	  1.18	 0.1390	 0.03038	 79316	  10	183
HD34411       	2455911.85451	     1.69	  1.26	 0.1332	 0.03051	 79940	   8	183
HD34411       	2455911.85509	     3.08	  1.20	 0.1336	 0.03052	 79642	   8	183
HD34411       	2455911.85567	     2.53	  1.20	 0.1327	 0.03047	 77355	   7	183
HD34411       	2455911.85626	    -0.22	  1.18	 0.1346	 0.03055	 88163	   8	183
HD34411       	2455911.85685	     3.62	  1.22	 0.1351	 0.03045	 83745	   8	183
HD34411       	2455911.85745	    -0.78	  1.18	 0.1312	 0.03058	 91555	   8	183
HD34411       	2455912.83999	    -1.16	  1.10	 0.1380	 0.03053	 75436	   7	183
HD34411       	2455912.84059	     3.56	  1.06	 0.1392	 0.03051	 83395	   8	183
HD34411       	2455912.84118	     3.96	  1.19	 0.1386	 0.03044	 82554	   8	183
HD34411       	2455912.84177	     1.10	  1.22	 0.1378	 0.03049	 85057	   8	183
HD34411       	2455912.84250	    -0.58	  1.02	 0.1391	 0.03045	 81765	   8	183
HD34411       	2455912.84308	     0.86	  1.12	 0.1387	 0.03050	 83862	   8	183
HD34411       	2455971.79637	    -0.77	  1.28	 0.1297	 0.03062	 84755	   9	183
HD34411       	2455971.79697	     4.28	  1.31	 0.1319	 0.03076	 78455	   8	183
HD34411       	2455971.79757	     2.22	  1.45	 0.1254	 0.03053	 81752	   9	183
HD34411       	2455971.79819	     4.29	  1.19	 0.1283	 0.03056	 80700	   9	183
HD34411       	2455971.79881	     3.99	  1.14	 0.1309	 0.03072	 81478	   9	183
HD34411       	2455971.79942	    -1.09	  1.32	 0.1307	 0.03055	 77636	   9	183
HD34411       	2456019.71789	    -2.46	  1.23	 0.1322	 0.03053	 61906	   7	183
HD34411       	2456024.75339	    -0.19	  1.36	 0.1372	 0.03053	 72098	 150	183
HD34411       	2456024.75542	    -1.85	  1.34	 0.1375	 0.03041	 71476	 107	183
HD34411       	2456024.75732	    -2.93	  1.31	 0.1377	 0.03039	 72428	 125	183
HD34411       	2456025.75526	     1.82	  1.47	 0.1410	 0.03028	 72482	 448	183
HD34411       	2456026.74432	    -0.97	  1.20	 0.1363	 0.03053	 75829	  27	183
HD34411       	2456026.74513	    -0.47	  1.32	 0.1391	 0.03052	 73458	  26	183
HD34411       	2456026.74591	     0.05	  1.21	 0.1403	 0.03053	 73610	  29	183
HD34411       	2456026.74731	     1.05	  1.40	 0.1393	 0.03055	 72458	 110	183
HD34411       	2456026.74934	     0.81	  1.32	 0.1381	 0.03056	 73354	  79	183
HD34411       	2456164.15143	    -3.81	  1.36	 0.1296	 0.03028	 52515	   6	183
HD34411       	2456208.15390	    -0.24	  1.34	 0.1349	 0.03023	 52398	   5	183
HD34411       	2456530.14370	     2.95	  1.30	 0.1388	 0.03039	 57134	   7	183
HD34411       	2456535.13774	     0.00	  1.29	 0.1351	 0.03037	 56101	   5	183
HD34411       	2456675.90523	    -0.68	  1.17	 0.1398	 0.03066	 84113	   8	183
HD34411       	2456675.90582	    -0.73	  1.32	 0.1435	 0.03059	 76901	   6	183
HD34411       	2456675.90641	    -4.11	  1.25	 0.1431	 0.03066	 79966	   7	183
HD34411       	2456675.90703	    -2.60	  1.18	 0.1428	 0.03056	 92129	   8	183
HD34411       	2456675.90776	    -1.96	  1.18	 0.1395	 0.03057	 90488	   8	183
HD34411       	2456675.90834	    -2.19	  1.11	 0.1413	 0.03056	 88609	   8	183

