#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-03-03T14:03:36 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ603f972a1312 
#INFO -out.max=1000 
#INFO queryParameters=9 
#-oc.form=sexa
#-out.max=1000
#-nav=cat:J/other/Nat/563.365&tab:{J/other/Nat/563.365/gl699s}&key:source=J/other/Nat/563.365/gl699s&HTTPPRM:&
#-source=J/other/Nat/563.365/gl699s
#-order=I
#-out=Inst
#-out=BJD
#-out=Sindex
#-out=e_Sindex
#

#RESOURCE=yCat_1038056301
#Name: J/other/Nat/563.365
#Title: Barnard's star radial velocity curve (Ribas+, 2018)
#Table J_other_Nat_563_365_gl699s:
#Name: J/other/Nat/563.365/gl699s
#Title: Time-series measurement of the S index of the CaII H&K chromospheric lines
#---Details of Columns:
    Inst     (a9)    Instrument (1) [ucd=meta.id;instr]
    BJD (d)  (F13.5) Barycentric Julian Date of the mid-time of the observation [ucd=time.epoch]
    Sindex   (F8.5)  S index [ucd=spect.index]
    e_Sindex (F8.5)  1-sigma uncertainty in the S index [ucd=stat.error]
--------- ------------- -------- --------
HARPSpost 2457994.49221  4.74273  0.09155
HARPSpost 2457995.49788  4.28674  0.11979
HARPSpost 2457996.49922  4.54695  0.16390
HARPSpost 2457998.52989  4.13854  0.12965
HARPSpost 2457999.49261  5.79750  0.30020
HARPSpost 2458000.52979  4.24285  0.16195
HARPSpost 2458001.53538  4.51072  0.13689
HARPSpost 2458002.52471  4.08607  0.12700
HARPSpost 2458007.54691  4.79069  0.18892
HARPSpost 2458008.61148  4.54206  0.29184
HARPSpost 2458010.53444  4.53166  0.17959
HARPSpost 2458011.58638  4.71538  0.28759
HARPSpost 2458012.59147  5.83538  0.19324
HARPSpost 2458013.55675  4.09876  0.18343
HARPSpost 2458017.48534  4.67231  0.16289
HARPSpost 2458018.52876  4.26535  0.12451
HARPSpost 2458019.49571  4.73636  0.09449
HARPSpost 2458020.49978  4.21077  0.12080
HARPSpost 2458021.47858  4.33778  0.10640
HARPSpost 2458022.47916  4.17597  0.11518
HARPSpost 2458023.48144  4.71324  0.14227
HARPSpost 2458025.48950  4.65926  0.18882
HARPSpost 2458026.49536  4.25540  0.16480
HARPSpre  2454194.89389  4.14213  0.05976
HARPSpre  2454196.88340  4.10611  0.05796
HARPSpre  2454197.89481  3.88843  0.05816
HARPSpre  2454198.89026  4.74852  0.06904
HARPSpre  2454199.91820  4.03813  0.03986
HARPSpre  2454200.92062  3.97141  0.05249
HARPSpre  2454202.91869  4.28371  0.06161
HARPSpre  2454227.84380  4.15977  0.06665
HARPSpre  2454298.71451  4.43098  0.09518
HARPSpre  2454315.66130  5.28370  0.12382
HARPSpre  2454316.64730  5.12566  0.07629
HARPSpre  2454319.63797  5.18406  0.06517
HARPSpre  2454320.65025  5.00593  0.05344
HARPSpre  2454340.65059  4.29710  0.06018
HARPSpre  2454343.55720  4.45191  0.04685
HARPSpre  2454347.55814  4.34819  0.05467
HARPSpre  2454385.52388  3.95947  0.14467
HARPSpre  2454389.50159  4.24687  0.17884
HARPSpre  2454523.88130  4.24080  0.07484
HARPSpre  2454551.90900  4.41710  0.06140
HARPSpre  2454588.92100  4.08195  0.07834
HARPSpre  2454948.80974  3.68807  0.05390
HARPSpre  2454951.82600  4.51830  0.07373
HARPSpre  2454956.84293  3.94567  0.08220
HARPSpre  2455054.65253  6.16198  0.09892
HARPSpre  2455388.58708  4.61341  0.08803
HARPSpre  2455396.59812  5.31931  0.19711
HARPSpre  2455403.64732  5.19724  0.13583
HARPSpre  2455457.54186  5.99135  0.07145
HARPSpre  2455485.49053  6.61127  0.12397
HARPSpre  2455634.89240  5.90794  0.10268
HARPSpre  2455645.90336  5.39880  0.07789
HARPSpre  2455660.83414  5.41771  0.06755
HARPSpre  2455672.84473  5.29858  0.06825
HARPSpre  2455674.84575  4.99959  0.07929
HARPSpre  2455675.83518  4.61626  0.09635
HARPSpre  2455676.83521  5.39135  0.10341
HARPSpre  2455677.80103  5.01917  0.05835
HARPSpre  2455678.84916  4.32742  0.06259
HARPSpre  2455679.77930  4.61689  0.05801
HARPSpre  2455680.73132  4.93254  0.09262
HARPSpre  2455681.73245  4.74010  0.09272
HARPSpre  2455682.73167  4.95800  0.09850
HARPSpre  2455683.74012  5.07618  0.08368
HARPSpre  2455684.74219  5.29964  0.10842
HARPSpre  2455685.72725  4.72180  0.07680
HARPSpre  2455686.93832  6.05823  0.09634
HARPSpre  2455690.81294  5.19781  0.09024
HARPSpre  2455691.83830  4.85489  0.11549
HARPSpre  2455692.73336  5.51629  0.10893
HARPSpre  2455693.76708  5.02216  0.06930
HARPSpre  2455753.73939  4.65067  0.12403
HARPSpre  2455754.66031  5.15426  0.11925
HARPSpre  2455769.53985  4.90099  0.09083
HARPSpre  2455776.51347  4.78682  0.12708
HARPSpre  2455777.57781  4.39095  0.10772
HARPSpre  2455778.62275  4.17627  0.22949
HARPSpre  2455779.68807  4.36762  0.11727
HARPSpre  2455802.52366  4.62868  0.14341
HARPSpre  2455803.55551  4.16353  0.19403
HARPSpre  2455804.50618  4.79265  0.16655
HARPSpre  2455805.50187  4.97422  0.11225
HARPSpre  2455807.51110  4.67938  0.09634
HARPSpre  2455809.59444  4.92900  0.09280
HARPSpre  2455810.54670  5.12139  0.07885
HARPSpre  2455835.49884  4.56904  0.12460
HARPSpre  2455837.47876  4.59064  0.06673
HARPSpre  2455839.48260  4.53713  0.10522
HARPSpre  2455840.48460  4.12896  0.10483
HARPSpre  2455841.49425  4.36107  0.10626
HARPSpre  2455844.47820  3.98818  0.11596
HARPSpre  2455845.49424  4.64077  0.09779
HARPSpre  2455992.88068  4.70119  0.12626
HARPSpre  2456064.78310  5.04690  0.10684
HARPSpre  2456078.76111  6.04650  0.08787
HARPSpre  2456079.69780  6.22424  0.11480
HARPSpre  2456080.76082  4.80723  0.07569
HARPSpre  2456081.76931  4.80943  0.09195
HARPSpre  2456082.73176  4.09883  0.23457
HARPSpre  2456083.70308  5.96645  0.11325
HARPSpre  2456085.75829  4.72810  0.12008
HARPSpre  2456087.76372  4.55797  0.09660
HARPSpre  2456088.80523  4.67644  0.12026
HARPSpre  2456089.68249  4.80007  0.11352
HARPSpre  2456094.77752  4.89127  0.11666
HARPSpre  2456102.58682  5.01766  0.10844
HARPSpre  2456117.54847  5.45767  0.10111
HARPSpre  2456357.90332  4.25783  0.09691
HARPSpre  2456360.89397  4.78605  0.12673
HARPSpre  2456361.89476  5.14259  0.13513
HARPSpre  2456363.90598  4.80984  0.12086
HARPSpre  2456364.89363  4.25218  0.09505
HARPSpre  2456365.88752  4.04429  0.12788
HARPSpre  2456367.90444  4.50011  0.08611
HARPSpre  2456368.89255  4.22380  0.08810
HARPSpre  2456369.90883  4.90740  0.06844
HARPSpre  2456371.91332  3.99692  0.15767
HARPSpre  2456372.90424  4.01218  0.10817
HARPSpre  2456373.89783  4.45480  0.10046
HARPSpre  2456417.93651  3.91510  0.16854
HARPSpre  2456418.90702  4.67316  0.12412
HARPSpre  2456419.79932  4.03841  0.23776
HARPSpre  2456420.80737  4.36673  0.13834
HARPSpre  2456421.92563  4.15456  0.28607
HARPSpre  2456422.92756  6.36205  0.19361
HARPSpre  2456423.83528  4.85696  0.17809
HARPSpre  2456424.66066  3.41474  0.27709
HARPSpre  2456426.83158  3.74573  0.16734
HARPSpre  2456427.90380  4.21893  0.45841
HARPSpre  2456428.91438  3.71975  0.25569
HIRES     2453237.89109  3.66725  0.02458
HIRES     2453301.74204  5.71455  0.03124
HIRES     2453550.91355  3.16750  0.02627
HIRES     2453602.85219  4.08319  0.02841
HIRES     2453807.12469  3.70417  0.02762
HIRES     2453926.95852  3.04199  0.02690
HIRES     2453933.85067  3.14381  0.02955
HIRES     2453934.81903  3.11535  0.02791
HIRES     2453960.89865  4.57398  0.02551
HIRES     2453961.85943  4.23992  0.02696
HIRES     2453962.80777  4.08415  0.02796
HIRES     2453963.83291  3.74656  0.02906
HIRES     2454247.03490  3.26059  0.02232
HIRES     2454248.12638  3.13620  0.02727
HIRES     2454249.97027  3.25401  0.02376
HIRES     2454251.01231  3.20758  0.02435
HIRES     2454251.97399  3.24741  0.02858
HIRES     2454256.00519  3.39631  0.02378
HIRES     2454278.97111  4.07647  0.02764
HIRES     2454285.97532  3.80641  0.03239
HIRES     2454304.96059  4.84557  0.02246
HIRES     2454305.96227  5.34028  0.02934
HIRES     2454306.93872  4.37585  0.03017
HIRES     2454307.98903  4.29902  0.02484
HIRES     2454308.95786  4.74351  0.02404
HIRES     2454309.95411  4.77011  0.02359
HIRES     2454310.94662  4.57692  0.02313
HIRES     2454311.94464  4.71749  0.02253
HIRES     2454312.94022  4.57949  0.02736
HIRES     2454313.93723  4.70914  0.02498
HIRES     2454314.97792  4.69618  0.02495
HIRES     2454318.84869  4.59657  0.02808
HIRES     2454335.85366  4.13926  0.02329
HIRES     2454336.88714  4.74446  0.02123
HIRES     2454337.83452  4.04607  0.02494
HIRES     2454338.88034  4.23335  0.02569
HIRES     2454343.81304  3.85644  0.02479
HIRES     2454344.93705  3.93258  0.06691
HIRES     2454396.70932  3.38384  0.03003
HIRES     2454397.71094  4.50027  0.02909
HIRES     2454399.73488  3.31794  0.02698
HIRES     2454633.89999  4.13380  0.02824
HIRES     2455463.78971  5.80515  0.02380
HIRES     2455638.07510  5.39880  0.02611
HIRES     2455665.02443  4.45861  0.02110
HIRES     2455670.05167  5.86808  0.02016
HIRES     2455720.02477  5.82295  0.02447
HIRES     2455749.97873  6.07084  0.02802
HIRES     2455824.75763  4.36953  0.02592
HIRES     2455839.74705  4.58364  0.02665
HIRES     2454717.75225  4.26625  0.02415
HIRES     2454718.75463  5.27669  0.02706
HIRES     2454719.77178  4.11918  0.02340
HIRES     2454723.75848  4.28471  0.02429
HIRES     2454724.76413  4.09896  0.02399
HIRES     2454930.05620  3.54550  0.02559
HIRES     2455608.12550  6.26204  0.07203
HIRES     2455614.15954  5.68508  0.02614
HIRES     2455634.09232  5.66295  0.03150
HIRES     2455635.11458  5.70609  0.02582
HIRES     2455636.15043  6.48494  0.02344
HIRES     2455637.12060  5.84356  0.02405
HIRES     2455668.03090  4.78253  0.02362
HIRES     2455671.06971  5.21731  0.02320
HIRES     2455671.99600  5.20036  0.02542
HIRES     2455672.97787  5.06272  0.02468
HIRES     2455673.96678  6.38184  0.02195
HIRES     2455697.12781  4.99795  0.02817
HIRES     2455697.88552  5.11249  0.02580
HIRES     2455699.88262  6.03187  0.02919
HIRES     2455704.86933  5.64214  0.02739
HIRES     2455705.86311  5.43224  0.03230
HIRES     2455706.85376  6.08774  0.02493
HIRES     2455707.86373  5.37566  0.02211
HIRES     2455723.02287  6.05540  0.03377
HIRES     2455723.87029  5.81899  0.02215
HIRES     2455726.94425  5.30898  0.02353
HIRES     2455733.83426  5.69845  0.02544
HIRES     2455734.88248  5.29929  0.02891
HIRES     2455735.84993  5.19312  0.02332
HIRES     2455751.77095  4.50125  0.02365
HIRES     2455759.77037  5.19529  0.02716
HIRES     2455760.76052  4.38720  0.02169
HIRES     2455761.79157  5.11735  0.02498
HIRES     2455762.83271  4.68027  0.02472
HIRES     2455763.77752  4.34574  0.02258
HIRES     2455768.75479  3.95158  0.02815
HIRES     2455769.76487  4.71699  0.02212
HIRES     2455770.77190  4.23887  0.02472
HIRES     2455781.75977  4.32929  0.02782
HIRES     2455787.88740  4.33380  0.02565
HIRES     2455788.91751  4.28834  0.02240
HIRES     2455789.78086  4.54007  0.02943
HIRES     2455790.84818  4.14241  0.02803
HIRES     2455791.90215  4.57254  0.02983
HIRES     2455792.85422  4.30859  0.02972
HIRES     2455793.72985  4.86466  0.02581
HIRES     2455794.78554  4.54508  0.03088
HIRES     2455795.88831  4.58839  0.02936
HIRES     2455796.75262  4.62348  0.02569
HIRES     2455797.74539  4.23305  0.03337
HIRES     2455798.84563  6.48182  0.02685
HIRES     2455806.80618  4.79576  0.02415
HIRES     2455808.81412  5.03031  0.02532
HIRES     2455809.88230  5.59954  0.02908
HIRES     2455810.88909  5.19800  0.02833
HIRES     2455811.83292  5.49553  0.02355
HIRES     2455841.77226  4.21512  0.02786
HIRES     2455843.70702  5.80520  0.02424
HIRES     2455850.71302  4.06994  0.03378
HIRES     2455992.15676  3.42119  0.02460
HIRES     2455995.11402  4.10460  0.02790
HIRES     2456000.09182  5.13299  0.02450
HIRES     2456019.00553  4.06220  0.04102
HIRES     2456020.00850  4.12908  0.02806
HIRES     2456073.86262  4.86079  0.02998
HIRES     2456114.76537  4.71994  0.23566
HIRES     2456166.73653  4.75943  0.02656
HIRES     2456195.73666  4.71880  0.02386
HIRES     2456473.78591  4.13555  0.02742
HIRES     2456506.75994  4.45352  0.02703
HIRES     2456709.12066  4.85291  0.02597
HIRES     2456908.73079  3.70210  0.02686

#END#  -ref=VIZ603f972a1312 ==================================================================================
