#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-03-03T14:02:04 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ603f966d8445 
#INFO -out.max=1000 
#INFO queryParameters=12 
#-oc.form=sexa
#-out.max=1000
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/other/Nat/563.365&tab:{J/other/Nat/563.365/gl699rv}&key:source=J/other/Nat/563.365/gl699rv&HTTPPRM:&&-ref=VIZ603f966d8445&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-file=.&-meta=1&-usenav=1&-bmark=POST&
#-source=J/other/Nat/563.365/gl699rv
#-order=I
#-out=Inst
#-out=BJD
#-out=RV
#-out=e_RV
#

#RESOURCE=yCat_1038056301
#Name: J/other/Nat/563.365
#Title: Barnard's star radial velocity curve (Ribas+, 2018)
#Table J_other_Nat_563_365_gl699rv:
#Name: J/other/Nat/563.365/gl699rv
#Title: Time-series measurements of radial velocity
#---Details of Columns:
    Inst       (a9)    Instrument (1) [ucd=meta.id;instr]
    BJD (d)    (F13.5) Barycentric Julian Date of the mid-time of the observation [ucd=time.epoch]
    RV (m/s)   (F6.3)  Radial velocity [ucd=phys.veloc;pos.heliocentric]
    e_RV (m/s) (F6.3)  1-sigma uncertainty in the radial velocity [ucd=stat.error]
--------- ------------- ------ ------
HARPSN    2457638.41270  3.368  0.861
HARPSN    2457641.38606  5.299  0.889
HARPSN    2457642.39116  4.314  0.870
HARPSN    2457643.38008  8.176  0.884
HARPSN    2457645.39062  3.337  0.879
HARPSN    2457646.37725  4.436  0.876
HARPSN    2457977.45045  4.323  0.894
HARPSN    2457978.38943  2.476  1.001
HARPSN    2457979.41854  4.206  0.942
HARPSN    2457980.44251  4.161  0.871
HARPSN    2457981.45403  3.945  0.893
HARPSN    2457982.40379  4.114  1.003
HARPSN    2457983.45150  3.817  0.883
HARPSN    2458005.40038  4.131  0.888
HARPSN    2458006.39457  6.421  0.871
HARPSN    2458007.37694  3.798  0.919
HARPSN    2458008.38392  5.225  0.898
HARPSN    2458009.39680  4.056  0.941
HARPSN    2458010.37211  4.470  0.897
HARPSN    2458033.35064  1.614  0.999
HARPSN    2458034.35701  5.228  0.972
HARPSN    2458035.35506  3.290  0.931
HARPSN    2458036.38413  2.199  1.203
HARPSN    2458037.33595  3.312  0.921
HARPSN    2458038.36761  4.050  0.961
HARPSpost 2457934.65911  3.940  1.082
HARPSpost 2457935.68469  3.042  1.217
HARPSpost 2457936.65009  3.262  1.070
HARPSpost 2457937.67095  3.997  1.037
HARPSpost 2457942.59227  3.994  0.868
HARPSpost 2457943.57904  6.517  0.926
HARPSpost 2457944.56278  4.360  1.110
HARPSpost 2457945.60903  3.513  1.027
HARPSpost 2457946.73724  6.315  1.010
HARPSpost 2457948.68339  2.735  0.850
HARPSpost 2457949.68724  4.541  1.222
HARPSpost 2457951.67143  3.770  1.448
HARPSpost 2457952.65938  4.749  1.005
HARPSpost 2457953.71115  1.957  0.897
HARPSpost 2457954.65784  4.587  0.992
HARPSpost 2457955.67008  2.738  1.247
HARPSpost 2457956.69678  7.272  1.197
HARPSpost 2457958.77290  4.820  1.449
HARPSpost 2457959.65511  3.744  0.955
HARPSpost 2457960.67873  3.132  1.115
HARPSpost 2457961.66325  7.812  1.064
HARPSpost 2457962.64991  4.837  1.588
HARPSpost 2457964.66424  4.644  1.328
HARPSpost 2457965.64931  6.040  1.120
HARPSpost 2457966.63741  4.084  1.093
HARPSpost 2457967.56523  3.410  1.311
HARPSpost 2457968.49685  6.164  1.177
HARPSpost 2457969.63483  6.757  1.257
HARPSpost 2457970.49440  4.493  0.975
HARPSpost 2457971.48571  3.542  0.815
HARPSpost 2457972.48431  4.528  1.190
HARPSpost 2457973.49595  4.361  1.184
HARPSpost 2457974.48098  3.494  1.046
HARPSpost 2457979.63286  1.705  1.077
HARPSpost 2457980.63730  4.131  1.075
HARPSpost 2457981.62065  4.184  0.816
HARPSpost 2457984.52436  3.654  1.132
HARPSpost 2457985.52265  3.183  1.020
HARPSpost 2457986.53362  2.882  1.009
HARPSpost 2457987.54287  6.434  1.060
HARPSpost 2457990.50811  3.301  0.916
HARPSpost 2457991.52469  0.852  1.055
HARPSpost 2457992.52303  1.334  0.801
HARPSpost 2457993.50704  0.988  0.894
HARPSpost 2457994.49221  2.376  0.881
HARPSpost 2457995.49788  0.219  0.807
HARPSpost 2457996.49922  1.873  1.067
HARPSpost 2457997.51615  7.806  3.381
HARPSpost 2457998.52989  3.485  1.070
HARPSpost 2457999.49261  3.066  1.371
HARPSpost 2458000.52979  2.520  1.155
HARPSpost 2458001.53538  2.395  0.805
HARPSpost 2458002.52471  1.388  1.060
HARPSpost 2458007.54691  3.718  1.248
HARPSpost 2458008.61148  5.281  1.333
HARPSpost 2458010.53444  2.250  1.187
HARPSpost 2458011.58638  2.186  1.510
HARPSpost 2458012.59147  3.472  0.824
HARPSpost 2458013.55675  3.528  1.095
HARPSpost 2458017.48534  4.445  1.051
HARPSpost 2458018.52876  5.597  0.918
HARPSpost 2458019.49571  5.882  1.030
HARPSpost 2458020.49978  5.217  0.801
HARPSpost 2458021.47858  5.585  1.015
HARPSpost 2458022.47916  5.683  1.115
HARPSpost 2458023.48144  3.961  1.130
HARPSpost 2458025.48950  3.732  1.182
HARPSpost 2458026.49536  4.761  1.069
HARPSpost 2458027.49530  4.157  2.042
HARPSpre  2454194.89389  2.153  0.954
HARPSpre  2454196.88340  2.118  0.998
HARPSpre  2454197.89481  1.445  0.935
HARPSpre  2454198.89026  3.189  1.017
HARPSpre  2454199.91820  2.625  0.946
HARPSpre  2454200.92062  1.350  0.961
HARPSpre  2454202.91869  2.751  0.953
HARPSpre  2454227.84380  2.352  0.979
HARPSpre  2454291.59694 -1.489  1.043
HARPSpre  2454298.71451  0.411  1.011
HARPSpre  2454315.66130  1.284  1.268
HARPSpre  2454316.64730  0.320  1.023
HARPSpre  2454319.63797  0.565  0.942
HARPSpre  2454320.65025  0.297  0.940
HARPSpre  2454340.65059 -0.752  0.916
HARPSpre  2454343.55720 -0.571  0.900
HARPSpre  2454347.55814 -0.564  0.917
HARPSpre  2454385.52388  0.903  1.106
HARPSpre  2454389.50159  2.042  1.203
HARPSpre  2454523.88130  1.221  1.005
HARPSpre  2454551.90900 -0.503  0.950
HARPSpre  2454588.92100 -0.544  1.009
HARPSpre  2454948.80974  0.048  0.952
HARPSpre  2454951.82600 -1.431  1.034
HARPSpre  2454956.84293 -0.521  0.979
HARPSpre  2455054.65253 -0.990  1.026
HARPSpre  2455283.88004  0.607  0.922
HARPSpre  2455305.87912 -0.071  0.950
HARPSpre  2455388.58708 -1.961  0.967
HARPSpre  2455396.59812  0.014  1.102
HARPSpre  2455403.64732  1.367  1.121
HARPSpre  2455457.54186 -2.649  1.005
HARPSpre  2455485.49053 -0.360  1.117
HARPSpre  2455634.89240  0.264  0.996
HARPSpre  2455645.90336 -2.053  0.915
HARPSpre  2455660.83414  0.037  0.989
HARPSpre  2455672.84473  1.142  0.921
HARPSpre  2455674.84575  0.711  0.950
HARPSpre  2455675.83518  0.964  0.999
HARPSpre  2455676.83521 -1.222  0.994
HARPSpre  2455677.80103 -1.089  1.035
HARPSpre  2455678.84916 -1.918  1.025
HARPSpre  2455679.77930  0.128  0.948
HARPSpre  2455680.73132  2.961  1.039
HARPSpre  2455681.73245  1.621  0.938
HARPSpre  2455682.73167  0.274  0.976
HARPSpre  2455683.74012  0.668  0.947
HARPSpre  2455684.74219 -0.319  0.924
HARPSpre  2455685.72725 -0.767  0.966
HARPSpre  2455686.93832  1.266  0.979
HARPSpre  2455689.75555 -0.815  1.234
HARPSpre  2455690.81294 -1.097  0.975
HARPSpre  2455691.83830  1.554  1.008
HARPSpre  2455692.73336  0.081  0.992
HARPSpre  2455693.76708  1.775  1.007
HARPSpre  2455753.73939 -1.819  1.053
HARPSpre  2455754.66031  2.323  1.130
HARPSpre  2455769.53985  0.992  0.995
HARPSpre  2455776.51347  1.384  1.047
HARPSpre  2455777.57781 -0.133  1.007
HARPSpre  2455778.62275  2.767  1.407
HARPSpre  2455779.68807  1.075  1.043
HARPSpre  2455782.63985  2.430  1.340
HARPSpre  2455802.52366  1.231  1.112
HARPSpre  2455803.55551  2.067  1.052
HARPSpre  2455804.50618  3.664  1.268
HARPSpre  2455805.50187  0.065  0.979
HARPSpre  2455807.51110  1.404  0.993
HARPSpre  2455809.59444  0.056  0.966
HARPSpre  2455810.54670  3.589  0.954
HARPSpre  2455835.49884  0.307  1.074
HARPSpre  2455836.48135  1.716  0.955
HARPSpre  2455837.47876  4.263  0.979
HARPSpre  2455839.48260  1.318  0.961
HARPSpre  2455840.48460  2.640  0.959
HARPSpre  2455841.49425  1.986  1.053
HARPSpre  2455842.48476  1.577  0.969
HARPSpre  2455844.47820  1.360  1.116
HARPSpre  2455845.49424  1.592  0.969
HARPSpre  2455992.88068  0.097  1.051
HARPSpre  2455994.88511  0.914  1.151
HARPSpre  2456064.78310 -0.373  1.049
HARPSpre  2456078.76111  0.560  1.012
HARPSpre  2456079.69780  2.353  1.047
HARPSpre  2456080.76082  1.193  0.960
HARPSpre  2456081.76931  0.860  0.940
HARPSpre  2456082.73176  4.333  1.285
HARPSpre  2456083.70308  3.273  1.035
HARPSpre  2456085.75829  2.304  0.984
HARPSpre  2456087.76372  2.558  1.036
HARPSpre  2456088.80523  2.235  1.002
HARPSpre  2456089.68249  0.286  1.074
HARPSpre  2456094.77752  3.276  0.987
HARPSpre  2456102.58682  1.964  1.001
HARPSpre  2456117.54847  0.167  0.982
HARPSpre  2456357.90332 -0.987  1.037
HARPSpre  2456360.89397 -1.548  1.116
HARPSpre  2456361.89476 -0.462  1.139
HARPSpre  2456363.90598 -1.109  1.062
HARPSpre  2456364.89363 -4.017  1.126
HARPSpre  2456365.88752 -1.003  1.048
HARPSpre  2456367.90444 -3.113  1.084
HARPSpre  2456368.89255 -2.302  1.127
HARPSpre  2456369.90883 -4.145  1.044
HARPSpre  2456371.91332 -3.547  1.199
HARPSpre  2456372.90424 -2.735  1.033
HARPSpre  2456373.89783 -1.805  1.011
HARPSpre  2456417.93499  0.508  0.997
HARPSpre  2456418.90702 -1.379  1.043
HARPSpre  2456419.79731  0.073  0.814
HARPSpre  2456420.81350 -1.567  0.807
HARPSpre  2456421.92716  2.747  0.899
HARPSpre  2456422.92756 -1.578  1.133
HARPSpre  2456423.83528 -0.946  1.132
HARPSpre  2456424.66066 -0.935  1.210
HARPSpre  2456426.82344  0.144  0.812
HARPSpre  2456427.90900  0.775  1.307
HARPSpre  2456428.91321 -0.085  0.885
HIRES     2450602.01140 -0.747  1.269
HIRES     2450602.95647  0.929  1.192
HIRES     2450604.00170 -2.080  1.700
HIRES     2450604.96684 -3.643  1.340
HIRES     2450605.95574 -3.899  1.254
HIRES     2450606.99606 -5.112  1.298
HIRES     2450607.86098 -5.980  1.753
HIRES     2450609.02068 -6.850  1.861
HIRES     2450610.11484 -1.398  1.512
HIRES     2450665.83550 -2.460  1.552
HIRES     2450954.99624  1.120  2.210
HIRES     2450981.87418 -0.500  1.709
HIRES     2450982.88569 -1.320  1.595
HIRES     2450984.02388 -7.900  1.753
HIRES     2451009.86528 -1.540  1.700
HIRES     2451011.84227 -0.140  1.727
HIRES     2451012.82292  1.060  1.744
HIRES     2451013.82429  2.010  1.518
HIRES     2451050.80938  4.670  1.727
HIRES     2451051.82196 -0.090  1.762
HIRES     2451068.79946 -5.970  1.518
HIRES     2451069.81397 -2.890  1.544
HIRES     2451070.82905 -2.227  1.167
HIRES     2451071.79981 -2.971  1.237
HIRES     2451072.79029 -1.902  1.216
HIRES     2451073.82866 -3.414  1.103
HIRES     2451074.77500 -2.060  1.518
HIRES     2451228.15524 -3.890  1.753
HIRES     2451229.14388 -4.810  1.744
HIRES     2451311.03688 -3.170  2.388
HIRES     2451312.01389 -4.510  2.682
HIRES     2451313.04021 -6.210  2.379
HIRES     2451341.02147 -1.000  1.718
HIRES     2451341.90061  0.530  1.595
HIRES     2451367.84914  1.150  1.933
HIRES     2451368.83909  7.650  1.753
HIRES     2451370.00729  2.090  1.735
HIRES     2451370.90907  0.050  1.612
HIRES     2451371.90501 -4.200  1.843
HIRES     2451409.85442  0.610  1.501
HIRES     2451410.83420 -0.060  1.518
HIRES     2451411.84208  1.750  1.780
HIRES     2451438.73354 -2.250  1.586
HIRES     2451680.06566 -3.170  2.482
HIRES     2451702.98234 -3.290  1.843
HIRES     2451703.97018 -2.740  1.753
HIRES     2451705.01536 -1.240  1.897
HIRES     2451705.94735 -2.170  1.762
HIRES     2452007.12157 -3.230  1.870
HIRES     2452097.94112 -0.500  1.970
HIRES     2452133.76779  7.270  2.145
HIRES     2452445.92377 -5.340  1.979
HIRES     2452537.79383  5.110  2.016
HIRES     2452777.11632 -2.470  2.034
HIRES     2452834.85156 -1.710  2.025
HIRES     2453072.13873 -3.640  1.906
HIRES     2453180.89628  1.290  1.861
HIRES     2453181.89036 -2.020  1.807
HIRES     2453195.82664  2.700  1.834
HIRES     2453237.89109  4.980  1.915
HIRES     2453301.74204  1.790  1.852
HIRES     2453550.91339  2.084  1.275
HIRES     2453602.85252  3.745  1.331
HIRES     2453807.12561 -4.964  1.283
HIRES     2453926.95874 -0.099  1.404
HIRES     2453933.85065 -0.456  1.377
HIRES     2453934.81932  5.245  1.303
HIRES     2453960.89901  3.212  1.419
HIRES     2453961.85907  1.832  1.364
HIRES     2453962.78850  3.016  1.391
HIRES     2453963.83273  2.262  1.393
HIRES     2454247.03490  2.920  1.807
HIRES     2454248.12638  0.290  2.229
HIRES     2454249.97027 -2.410  1.798
HIRES     2454251.01231  0.510  1.518
HIRES     2454251.97399 -5.270  1.762
HIRES     2454256.00550 -1.065  1.267
HIRES     2454277.91484  4.970  2.080
HIRES     2454278.97111 -2.320  2.163
HIRES     2454285.97596 -1.385  1.522
HIRES     2454294.98802 -1.170  1.682
HIRES     2454304.96059 -2.600  1.915
HIRES     2454305.96227 -0.430  1.807
HIRES     2454306.93872  2.100  1.879
HIRES     2454307.98903  2.670  1.665
HIRES     2454308.95786  2.660  1.906
HIRES     2454309.95411  1.530  1.709
HIRES     2454310.94662  4.820  1.682
HIRES     2454311.94464  0.910  1.595
HIRES     2454312.94022  3.000  1.621
HIRES     2454313.93723 -0.540  1.798
HIRES     2454314.97792 -3.310  1.780
HIRES     2454335.85353  2.565  1.267
HIRES     2454336.88714  4.640  1.586
HIRES     2454337.83452  3.270  1.735
HIRES     2454338.88034  2.720  1.569
HIRES     2454343.81304 -1.970  1.595
HIRES     2454344.93705 -5.490  1.762
HIRES     2454396.70932  7.070  1.656
HIRES     2454397.71094  4.210  1.621
HIRES     2454399.73488 -2.010  2.016
HIRES     2454633.89999  5.070  1.771
HIRES     2454717.75225 -0.750  1.834
HIRES     2454718.75463  1.600  1.682
HIRES     2454719.77178  1.280  1.691
HIRES     2454723.75848  0.060  1.476
HIRES     2454724.76413  0.740  1.780
HIRES     2454930.05620  3.280  1.933
HIRES     2455463.82729 -4.694  1.085
HIRES     2455607.13942  3.880  1.753
HIRES     2455608.12550  1.540  1.656
