# HARPS 2012 data for CoRoT-7, processed in the same way as the 2008-2009
# data (Queloz et al. 2009). From left to right are given: Julian date,
# RV, the estimated error eRV on the RV, the FWHM and the line bisector
# of (BIS) of the cross-correlation function (as defined in Queloz et al.
# 2001), the Ca ii activity indicator log(RHK) and its error elog(RHK)
# -----------------------------------------------------------------------
# Julian date	RV	eRV	FWHM	BIS	log(RHK)	elog(RHK)
# (d) BJD_UTC	(km s1)	(km s1)	(km s1)	(km s1)		
2455950.56227	31.17601	0.00168	6.46236	0.03281	4.7404	0.0130
2455950.66816	31.17590	0.00175	6.45419	0.01683	4.7400	0.0131
2455950.76859	31.17096	0.00177	6.45464	0.02764	4.7633	0.0163
2455951.54884	31.17391	0.00182	6.43438	0.03045	4.7528	0.0158
2455951.65576	31.17223	0.00207	6.43799	0.02989	4.7971	0.0188
2455951.75704	31.17219	0.00246	6.44706	0.02311	4.7875	0.0271
2455952.56523	31.17963	0.00204	6.44030	0.01523	4.7580	0.0187
2455952.77021	31.18059	0.00225	6.44565	0.02541	4.7385	0.0225
2455953.55597	31.17395	0.00182	6.43480	0.01000	4.7119	0.0146
2455953.68468	31.17475	0.00195	6.45180	0.00298	4.7323	0.0152
2455953.76300	31.18222	0.00268	6.44616	0.02591	4.7364	0.0272
2455954.55404	31.17790	0.00181	6.44536	0.00875	4.7410	0.0154
2455954.63792	31.18295	0.00168	6.46153	0.01177	4.7168	0.0118
2455955.55847	31.18862	0.00189	6.46166	0.02000	4.7413	0.0161
2455955.63894	31.19331	0.00165	6.46554	0.01452	4.7438	0.0120
2455955.73279	31.19476	0.00179	6.44739	0.00867	4.7347	0.0148
2455956.62463	31.19811	0.00156	6.46579	0.02657	4.7147	0.0106
2455956.72897	31.19191	0.00192	6.47400	0.02364	4.7015	0.0149
2455957.64372	31.18164	0.00206	6.47184	0.02857	4.7539	0.0179
2455958.56684	31.18091	0.00192	6.47635	0.02301	4.7447	0.0163
2455958.65850	31.18392	0.00201	6.47078	0.02216	4.7459	0.0171
2455958.71729	31.18374	0.00201	6.47376	0.02909	4.6738	0.0158
2455959.55361	31.18266	0.00205	6.48019	0.01837	4.7103	0.0164
2455959.64103	31.18817	0.00201	6.46959	0.02289	4.7087	0.0149
2455959.72214	31.18793	0.00210	6.46640	0.02085	4.7060	0.0177
2455960.54986	31.18993	0.00180	6.48016	0.02823	4.6961	0.0133
2455960.64222	31.18652	0.00182	6.48139	0.01905	4.6868	0.0124
2455960.71808	31.18327	0.00202	6.47342	0.03245	4.6930	0.0161
2455961.57133	31.17531	0.00190	6.46406	0.01978	4.7245	0.0148
2455961.71143	31.17428	0.00177	6.47095	0.01987	4.7172	0.0140
2455962.54203	31.18283	0.00239	6.48479	0.01274	4.7236	0.0204
2455962.63340	31.18606	0.00209	6.47948	0.02189	4.7266	0.0166
2455962.72313	31.17570	0.00249	6.47445	0.01550	4.7286	0.0235
2455963.55846	31.18712	0.00187	6.48049	0.01961	4.7051	0.0135
2455963.64853	31.18517	0.00163	6.47868	0.02397	4.6832	0.0101
2455963.70438	31.18517	0.00184	6.47691	0.02248	4.6987	0.0143
2455964.55809	31.18475	0.00195	6.48780	0.03089	4.7172	0.0148
2455964.62532	31.18077	0.00224	6.48025	0.02273	4.7404	0.0182
2455964.70360	31.17426	0.00272	6.47958	0.03171	4.7357	0.0249
