#   VizieR Astronomical Server vizier.u-strasbg.f2
#    Date: 2021-03-23T18:04:38 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ605a2d6010c0 
#INFO -out.max=1000 
#INFO queryParameters=14 
#-oc.form=sexa
#-out.max=1000
#-nav=cat:J/A+A/506/303&tab:{J/A+A/506/303/tablea1}&key:source=J/A+A/506/303&HTTPPRM:&
#-source=J/A+A/506/303/tablea1
#-order=I
#-out=JDB
#-out=RV
#-out=e_RV
#-out=FWHM
#-out=e_FWHM
#-out=Span
#-out=e_Span
#-out=log(R'(HK))
#-out=e_log(R'(HK))
#
#
#RESOURCE=yCat_35060303
#Name: J/A+A/506/303
#Title: CoRoT-7 radial velocities (Queloz+, 2009)
#Table J_A_A_506_303_tablea1:
#Name: J/A+A/506/303/tablea1
#Title: HARPS data
#---Details of Columns:
#    JDB (d)             (F14.6) Julian date [ucd=time.epoch]
#    RV (km/s)           (F7.4)  Radial velocity [ucd=phys.veloc;pos.heliocentric]
#    e_RV (km/s)         (F7.4)  rms uncertainty on RV [ucd=stat.error]
#    FWHM (km/s)         (F7.4)  Width (FWHM) [ucd=spect.line.width]
#    e_FWHM (km/s)       (F7.4)  rms uncertainty on FWHM [ucd=stat.error;phys.angSize]
#    Span (km/s)         (F7.4)  Bisector span velocity [ucd=phys.veloc]
#    e_Span (km/s)       (F7.4)  rms uncertainty on Span [ucd=stat.error]
#    log(R'(HK)) ([-])   (F7.4)  ? Activity index [ucd=phot.flux;arith.ratio]
#    e_log(R'(HK)) ([-]) (F7.4)  ? rms uncertainty on log(R'(HK)) [ucd=stat.error]
#-------------- ------- ------- ------- ------- ------- ------- ------- -------
#                                                               log     e_log  
#               RV      e_RV    FWHM    e_FWHM  Span    e_Span  (R'(HK) (R'(HK)
#JDB (d)        (km/s)  (km/s)  (km/s)  (km/s)  (km/s)  (km/s)  ) ([-]) ) ([-])
#-------------- ------- ------- ------- ------- ------- ------- ------- -------
2454800.846162 31.1857  0.0016  6.4987  0.0038  0.0362  0.0032 -4.5825  0.0067
2454801.753036 31.1832  0.0015  6.4882  0.0035  0.0353  0.0030 -4.6097  0.0062
2454801.839649 31.1851  0.0015  6.4922  0.0035  0.0392  0.0030 -4.6100  0.0065
2454802.748385 31.1854  0.0020  6.4764  0.0047  0.0216  0.0040 -4.6389  0.0108
2454802.843308 31.1835  0.0016  6.4793  0.0038  0.0328  0.0032 -4.6340  0.0073
2454803.752610 31.1815  0.0018  6.4812  0.0042  0.0292  0.0036 -4.6480  0.0093
2454803.834177 31.1789  0.0020  6.4811  0.0047  0.0194  0.0040 -4.6384  0.0111
2454804.755468 31.1782  0.0025  6.4783  0.0059  0.0187  0.0050 -4.6712  0.0153
2454804.834245 31.1847  0.0019  6.4894  0.0045  0.0246  0.0038 -4.6637  0.0104
2454805.777470 31.1970  0.0021  6.4914  0.0049  0.0115  0.0042 -4.6622  0.0116
2454805.850494 31.2039  0.0024  6.4902  0.0056  0.0202  0.0048 -4.6645  0.0145
2454806.764734 31.2044  0.0018  6.4970  0.0042  0.0211  0.0036 -4.6659  0.0098
2454806.844413 31.2036  0.0022  6.5003  0.0052  0.0187  0.0044 -4.5884  0.0112
2454807.728119 31.1937  0.0018  6.5033  0.0042  0.0230  0.0036 -4.6484  0.0087
2454807.826352 31.1965  0.0017  6.5042  0.0040  0.0215  0.0034 -4.6372  0.0084
2454825.736813 31.1916  0.0013  6.4712  0.0031  0.0241  0.0026 -4.6173  0.0053
2454826.739453 31.1943  0.0014  6.4814  0.0033  0.0154  0.0028 -4.6372  0.0056
2454827.726165 31.2018  0.0014  6.4919  0.0033  0.0145  0.0028 -4.6300  0.0055
2454828.736070 31.2160  0.0017  6.5082  0.0040  0.0136  0.0034 -4.6462  0.0082
2454829.735395 31.2057  0.0020  6.5080  0.0047  0.0203  0.0040 -4.5906  0.0094
2454830.724394 31.1881  0.0018  6.5219  0.0042  0.0333  0.0036 -4.5798  0.0072
2454831.710289 31.1788  0.0066  6.4794  0.0155  0.0314  0.0132 -4.7112  0.0559
2454831.728761 31.1753  0.0019  6.5141  0.0045  0.0229  0.0038 -4.5731  0.0079
2454832.725234 31.1865  0.0030  6.5149  0.0070  0.0270  0.0060 -4.5826  0.0154
2454833.734170 31.1892  0.0021  6.5046  0.0049  0.0263  0.0042 -4.6322  0.0101
2454834.753950 31.2003  0.0015  6.5311  0.0035  0.0256  0.0030 -4.6106  0.0064
2454847.596797 31.1890  0.0017  6.4744  0.0040  0.0290  0.0034 -4.6204  0.0076
2454847.693890 31.1908  0.0018  6.4815  0.0042  0.0364  0.0036 -4.6069  0.0078
2454847.756817 31.1909  0.0015  6.4918  0.0035  0.0365  0.0030 -4.6376  0.0068
2454848.600709 31.1846  0.0015  6.4631  0.0035  0.0240  0.0030 -4.6154  0.0060
2454848.682235 31.1792  0.0013  6.4774  0.0031  0.0339  0.0026 -4.6198  0.0051
2454848.759062 31.1758  0.0016  6.4780  0.0038  0.0253  0.0032 -4.6320  0.0073
2454849.594019 31.1835  0.0014  6.4840  0.0033  0.0271  0.0028 -4.6309  0.0056
2454849.671887 31.1786  0.0015  6.4729  0.0035  0.0189  0.0030 -4.5915  0.0061
2454849.749061 31.1791  0.0019  6.4766  0.0045  0.0106  0.0038 -4.6242  0.0099
2454850.595162 31.1869  0.0018  6.4818  0.0042  0.0178  0.0036 -4.6317  0.0086
2454850.664176 31.1878  0.0016  6.4844  0.0038  0.0344  0.0032 -4.6297  0.0073
2454850.750354 31.1907  0.0014  6.4824  0.0033  0.0250  0.0028 -4.6218  0.0059
2454851.592681 31.1914  0.0017  6.4799  0.0040  0.0255  0.0034 -4.6292  0.0081
2454851.666440 31.1926  0.0018  6.4860  0.0042  0.0215  0.0036 -4.6356  0.0082
2454851.747584 31.1923  0.0018  6.4896  0.0042  0.0299  0.0036 -4.6370  0.0092
2454852.598578 31.1892  0.0018  6.4905  0.0042  0.0300  0.0036 -4.6242  0.0086
2454852.673969 31.1861  0.0015  6.4851  0.0035  0.0182  0.0030 -4.6349  0.0064
2454852.741247 31.1918  0.0016  6.4858  0.0038  0.0298  0.0032 -4.6192  0.0070
2454853.573953 31.1961  0.0015  6.4996  0.0035  0.0314  0.0030 -4.6002  0.0061
2454853.698128 31.2004  0.0015  6.4863  0.0035  0.0266  0.0030 -4.5767  0.0062
2454853.746135 31.2008  0.0016  6.5049  0.0038  0.0188  0.0032 -4.6006  0.0075
2454854.580252 31.2062  0.0017  6.4841  0.0040  0.0247  0.0034 -4.5825  0.0071
2454854.657842 31.2074  0.0016  6.4938  0.0038  0.0265  0.0032 -4.6009  0.0070
2454854.741682 31.2001  0.0019  6.4990  0.0045  0.0204  0.0038 -4.6045  0.0090
2454855.675459 31.2003  0.0014  6.5085  0.0033  0.0198  0.0028         
2454856.652751 31.1942  0.0013  6.5201  0.0031  0.0228  0.0026         
2454857.646823 31.2091  0.0013  6.5261  0.0031  0.0157  0.0026         
2454858.663463 31.2130  0.0019  6.5245  0.0045  0.0214  0.0038         
2454859.649883 31.2013  0.0022  6.5382  0.0052  0.0265  0.0044         
2454860.752152 31.1907  0.0060  6.5464  0.0141  0.0274  0.0120         
2454861.684451 31.1991  0.0014  6.5384  0.0033  0.0387  0.0028         
2454862.662718 31.1898  0.0021  6.5269  0.0049  0.0297  0.0042         
2454863.655034 31.1784  0.0015  6.5313  0.0035  0.0299  0.0030         
2454864.630186 31.1747  0.0056  6.5221  0.0132  0.0325  0.0112 -4.5171  0.0293
2454865.597778 31.1871  0.0027  6.5024  0.0063  0.0279  0.0054 -4.6057  0.0122
2454865.715909 31.1829  0.0020  6.4980  0.0047  0.0347  0.0040 -4.5831  0.0081
2454866.660215 31.1768  0.0027  6.5042  0.0063  0.0409  0.0054 -4.5755  0.0125
2454867.560377 31.1633  0.0022  6.4961  0.0052  0.0366  0.0044 -4.6310  0.0101
2454867.670638 31.1646  0.0022  6.4985  0.0052  0.0333  0.0044 -4.5947  0.0100
2454868.591829 31.1675  0.0024  6.4874  0.0056  0.0197  0.0048 -4.5811  0.0100
2454868.687553 31.1695  0.0028  6.4775  0.0066  0.0241  0.0056 -4.5895  0.0135
2454869.600213 31.1848  0.0016  6.4819  0.0038  0.0328  0.0032 -4.6305  0.0059
2454869.688032 31.1890  0.0017  6.4881  0.0040  0.0304  0.0034 -4.6193  0.0071
2454870.601258 31.1868  0.0016  6.4943  0.0038  0.0260  0.0032 -4.6314  0.0063
2454870.715742 31.1872  0.0021  6.4859  0.0049  0.0203  0.0042 -4.6203  0.0095
2454871.537976 31.1923  0.0015  6.4816  0.0035  0.0198  0.0030 -4.6192  0.0060
2454872.564758 31.2030  0.0023  6.4747  0.0054  0.0320  0.0046 -4.6300  0.0116
2454872.649638 31.1980  0.0017  6.4778  0.0040  0.0282  0.0034 -4.6626  0.0077
2454872.727318 31.1928  0.0023  6.4755  0.0054  0.0211  0.0046 -4.6382  0.0125
2454873.537549 31.1950  0.0022  6.4752  0.0052  0.0226  0.0044 -4.6433  0.0111
2454873.650147 31.1929  0.0015  6.4829  0.0035  0.0115  0.0030 -4.6436  0.0068
2454873.720073 31.1902  0.0020  6.4774  0.0047  0.0270  0.0040 -4.6511  0.0108
2454879.536551 31.2017  0.0020  6.4994  0.0047  0.0268  0.0040 -4.6174  0.0094
2454879.676148 31.1990  0.0022  6.4929  0.0052  0.0310  0.0044 -4.5864  0.0109
2454880.613748 31.2054  0.0022  6.5075  0.0052  0.0337  0.0044 -4.6504  0.0121
2454881.591054 31.2038  0.0017  6.5156  0.0040  0.0181  0.0034 -4.6057  0.0075
2454882.525655 31.1987  0.0016  6.5294  0.0038  0.0247  0.0032 -4.6045  0.0068
2454882.656016 31.2034  0.0016  6.5303  0.0038  0.0244  0.0032 -4.5665  0.0067
2454883.588012 31.2043  0.0015  6.5263  0.0035  0.0187  0.0030 -4.5945  0.0060
2454884.526256 31.1985  0.0016  6.5235  0.0038  0.0319  0.0032 -4.5841  0.0063
2454884.646409 31.1903  0.0020  6.5209  0.0047  0.0304  0.0040 -4.5816  0.0093
#
#END#  -ref=VIZ605a2d6010c0 ==========================================================
