#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-06-28T03:46:37 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ60d9427d38cc83	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/AJ/153/208/table1
#-nav=cat:J/AJ/153/208&tab:{J/AJ/153/208/table1}&key:source=J/AJ/153/208/table1&HTTPPRM:&&-ref=VIZ60d9427d38cc83&-out.max=unlimited&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=Name&Name=HD3651&-out=BJD&-out=RV&-out=e_RV&-out=S&-out=H&-out=Count&-out=Exp&-out=Nrv&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/153/208/table1
#-source=J/AJ/153/208/table1
#-out=Name
#Name=HD3651
#-out=BJD
#-out=RV
#-out=e_RV
#-out=S
#-out=H
#-out=Count
#-out=Exp
#-out=Nrv
#

#RESOURCE=yCat_51530208
#Name: J/AJ/153/208
#Title: LCES HIRES/Keck radial velocity Exoplanet Survey (Butler+, 2017)
#Table	J_AJ_153_208_table1:
#Name: J/AJ/153/208/table1
#Title: Radial velocities and chromospheric activity indices of all program stars (corrected velocities in Tal-Or et al, 2019, Cat. J/MNRAS/484/L8)
#Column	Name	(a14)	Target identifier	[ucd=meta.id;meta.main]
#Column	BJD	(F13.5)	Barycentric Julian Date	[ucd=time.epoch]
#Column	RV	(F9.2)	[-39874.3/42363.6] Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F6.2)	[0.01/252.9] 1{sigma} uncertainty in RV	[ucd=stat.error]
#Column	S	(F7.4)	[-5.5/68.9] Chromosperic activity index S-index (1)	[ucd=spect.index]
#Column	H	(F8.5)	[-1/0.11]? Chromosperic activity index H-index (2)	[ucd=spect.index]
#Column	Count	(I6)	[67/616935] Median photons per pixel	[ucd=phot.count;arith.ratio]
#Column	Exp	(I4)	[-1/2551] Exposure time	[ucd=time.duration;obs.exposure]
#Column	Nrv	(I3)	Number of radial velocity measurements (table1) [NULL integer written as an empty string]	[ucd=meta.number]
Name	BJD	RV	e_RV	S	H	Count	Exp	Nrv
HD3651        	2453724.84173	    -3.44	  1.27	 0.1694	 0.03399	109659	  35	161
HD3651        	2453927.05338	   -20.58	  1.19	 0.1604	 0.03417	 99971	  32	161
HD3651        	2453927.05426	   -22.24	  1.24	 0.1620	 0.03418	100608	  33	161
HD3651        	2453927.05515	   -24.64	  1.21	 0.1600	 0.03416	101668	  32	161
HD3651        	2453981.91230	    -6.71	  1.20	 0.1641	 0.03400	100856	  26	161
HD3651        	2453981.91325	    -7.70	  1.09	 0.1702	 0.03399	102478	  29	161
HD3651        	2453981.91406	    -6.80	  1.28	 0.1701	 0.03403	103171	  27	161
HD3651        	2454084.87753	     0.32	  1.32	 0.1775	 0.03400	 76002	 122	161
HD3651        	2454084.87943	    -0.02	  1.45	 0.1806	 0.03409	 74702	 133	161
HD3651        	2454084.88127	     2.34	  1.49	 0.1814	 0.03401	 75732	  98	161
HD3651        	2454279.12854	    -4.80	  1.30	 0.1693	 0.03400	 78052	  21	161
HD3651        	2454295.08889	   -10.86	  1.49	 0.1701	 0.03382	 80457	  21	161
HD3651        	2454398.92093	    -1.12	  1.55	 0.1752	 0.03396	 78022	   0	161
HD3651        	2454464.80869	    -5.41	  1.36	 0.1910	 0.03398	 77987	   0	161
HD3651        	2454490.72365	   -18.69	  1.38	 0.1680	 0.03405	 75991	   0	161
HD3651        	2454491.74551	   -30.07	  1.38	 0.1760	 0.03394	 76801	   0	161
HD3651        	2454717.94207	   -11.35	  1.67	 0.1734	 0.03389	 51940	  17	161
HD3651        	2454718.99801	    -2.02	  1.38	 0.1583	 0.03392	 52140	  15	161
HD3651        	2454721.90809	    -5.16	  1.62	 0.1760	 0.03388	 50761	  21	161
HD3651        	2454722.89071	    -9.98	  1.48	 0.1759	 0.03387	 48189	  17	161
HD3651        	2454723.87521	    -4.39	  1.69	 0.1838	 0.03382	 18530	   5	161
HD3651        	2454724.96134	    -7.54	  1.54	 0.1791	 0.03392	 48727	  15	161
HD3651        	2455015.12804	     0.15	  1.47	 0.1696	 0.03394	 53120	  14	161
HD3651        	2455171.94721	   -15.88	  1.48	 0.1898	 0.03398	 48285	 190	161
HD3651        	2455379.13197	     8.52	  1.28	 0.1583	 0.03389	 51555	  20	161
HD3651        	2455409.13152	    -2.87	  1.25	 0.1508	 0.03407	 83504	  32	161
HD3651        	2455409.13236	     0.00	  1.27	 0.1493	 0.03406	 84070	  28	161
HD3651        	2455409.13318	    -2.83	  1.30	 0.1522	 0.03409	 84931	  29	161
HD3651        	2455409.13416	     0.24	  1.28	 0.1518	 0.03404	 83156	  30	161
HD3651        	2455409.13503	    -1.95	  1.26	 0.1566	 0.03406	 85253	  33	161
HD3651        	2455435.03804	    17.71	  1.52	 0.1613	 0.03414	 54637	  14	161
HD3651        	2455463.09280	     2.78	  1.35	 0.1612	 0.03409	 81045	  26	161
HD3651        	2455463.09363	     1.16	  1.44	 0.1644	 0.03409	 82475	  28	161
HD3651        	2455463.09460	    -0.04	  1.24	 0.1625	 0.03405	 80674	  27	161
HD3651        	2455463.09543	     2.78	  1.35	 0.1598	 0.03406	 83239	  29	161
HD3651        	2455463.09628	     1.11	  1.19	 0.1620	 0.03402	 84101	  29	161
HD3651        	2455463.87010	     5.01	  1.24	 0.1606	 0.03413	 84364	  21	161
HD3651        	2455463.87086	     6.15	  1.31	 0.1624	 0.03416	 82434	  20	161
HD3651        	2455463.87159	     5.66	  1.33	 0.1588	 0.03409	 85832	  21	161
HD3651        	2455463.87233	     0.57	  1.26	 0.1622	 0.03407	 83608	  20	161
HD3651        	2455463.87308	     4.82	  1.35	 0.1616	 0.03408	 81314	  20	161
HD3651        	2455463.87383	     5.92	  1.52	 0.1611	 0.03408	 84063	  20	161
HD3651        	2455515.98451	     7.45	  1.46	 0.1641	 0.03404	 83641	  36	161
HD3651        	2455515.98542	     7.31	  1.30	 0.1592	 0.03408	 81247	  34	161
HD3651        	2455515.98633	     9.02	  1.30	 0.1607	 0.03401	 82748	  34	161
HD3651        	2455515.98723	     6.10	  1.26	 0.1577	 0.03405	 81664	  35	161
HD3651        	2455515.98816	     3.47	  1.28	 0.1603	 0.03405	 81458	  33	161
HD3651        	2455522.88644	    -0.74	  1.51	 0.1620	 0.03395	 28838	   8	161
HD3651        	2455584.70020	    -3.41	  1.49	 0.1560	 0.03412	 55644	  15	161
HD3651        	2455752.13206	     4.99	  1.44	 0.1549	 0.03399	 57057	  18	161
HD3651        	2455753.12037	     4.00	  1.39	 0.1600	 0.03405	 51587	  63	161
HD3651        	2455753.12168	     7.03	  1.36	 0.1610	 0.03404	 51332	  81	161
HD3651        	2455753.12299	     5.00	  1.32	 0.1602	 0.03403	 50979	  58	161
HD3651        	2455753.12419	     4.32	  1.47	 0.1598	 0.03407	 51722	  56	161
HD3651        	2455753.12531	     4.96	  1.45	 0.1620	 0.03404	 51342	  51	161
HD3651        	2455786.05221	   -13.75	  1.60	 0.1554	 0.03418	 31166	 499	161
HD3651        	2455786.05888	    -8.95	  1.56	 0.1573	 0.03419	 39909	 500	161
HD3651        	2455786.06340	    -7.27	  1.34	 0.1599	 0.03406	 51915	 227	161
HD3651        	2455825.05060	     6.45	  1.36	 0.1577	 0.03396	 83492	  30	161
HD3651        	2455825.05146	     7.12	  1.49	 0.1583	 0.03392	 82203	  30	161
HD3651        	2455825.05230	     6.62	  1.47	 0.1548	 0.03401	 84504	  29	161
HD3651        	2455825.05313	     5.16	  1.35	 0.1566	 0.03396	 81035	  27	161
HD3651        	2455839.95131	    -2.82	  1.33	 0.1472	 0.03411	 83815	  22	161
HD3651        	2455839.95207	    -0.45	  1.34	 0.1459	 0.03411	 84959	  24	161
HD3651        	2455839.95287	    -1.67	  1.38	 0.1465	 0.03410	 83830	  25	161
HD3651        	2455839.95368	    -2.82	  1.45	 0.1483	 0.03406	 86203	  25	161
HD3651        	2455839.95448	    -2.23	  1.27	 0.1446	 0.03410	 84843	  24	161
HD3651        	2455841.96771	    -4.20	  1.43	 0.1528	 0.03416	 53877	  15	161
HD3651        	2455870.92318	     8.93	  1.40	 0.1578	 0.03407	 51538	  37	161
HD3651        	2455874.89671	     9.70	  1.33	 0.1576	 0.03408	 83186	  26	161
HD3651        	2455874.89755	    10.71	  1.48	 0.1550	 0.03412	 85262	  27	161
HD3651        	2455874.89837	     9.78	  1.48	 0.1544	 0.03412	 84530	  26	161
HD3651        	2455874.89917	    10.92	  1.34	 0.1609	 0.03409	 85422	  26	161
HD3651        	2455874.89998	    11.50	  1.34	 0.1498	 0.03412	 84128	  24	161
HD3651        	2455876.89307	     7.00	  1.29	 0.1519	 0.03410	 84920	  37	161
HD3651        	2455876.89398	     9.62	  1.25	 0.1531	 0.03412	 82090	  33	161
HD3651        	2455876.89486	     7.37	  1.44	 0.1522	 0.03410	 83418	  29	161
HD3651        	2455876.89574	     8.45	  1.34	 0.1518	 0.03406	 82440	  33	161
HD3651        	2455876.89678	     9.62	  1.41	 0.1543	 0.03409	 84529	  56	161
HD3651        	2455904.81940	    -4.08	  1.44	 0.1612	 0.03412	 52440	  17	161
HD3651        	2456080.13337	     2.00	  1.42	 0.1541	 0.03407	 52110	  18	161
HD3651        	2456098.13755	    -4.93	  1.53	 0.1214	 0.03410	 48823	  21	161
HD3651        	2456112.13508	   -14.30	  1.32	 0.1510	 0.03401	 55390	  14	161
HD3651        	2456202.97597	    -0.50	  1.46	 0.1598	 0.03400	 50101	 114	161
HD3651        	2456318.70583	     4.48	  1.30	 0.1602	 0.03417	 53133	  13	161
HD3651        	2456474.13358	   -11.51	  1.48	 0.1567	 0.03386	 50093	  19	161
HD3651        	2456519.10763	     1.15	  1.45	 0.1590	 0.03412	 52145	  19	161
HD3651        	2456584.90194	     0.58	  1.45	 0.1600	 0.03426	 53076	  14	161
HD3651        	2456640.84420	     2.58	  1.34	 0.1554	 0.03396	 50121	 167	161

