#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-07-09T22:01:50 [V7.321]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-07-09T22:01:50	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#Name=HD99491
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.321	
#INFO	-out.max=814	

#RESOURCE=yCat_74849008
#Name: J/MNRAS/484/L8
#Title: Correcting HIRES/Keck RVs for systematic errors (Tal-Or+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/mnras/484/l8	
#INFO	publisher=CDS	
#INFO	creator=Tal-Or L.	
#INFO	related_resource=bibcode:2019MNRAS.484L...8T	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/484/L8	
#INFO	publication_date=2020-01-17	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_MNRAS_484_L8_table1:
#Name: J/MNRAS/484/L8/table1
#Title: Radial velocities of 1699 stars from Butler et al., 2017, J/AJ/153/208, corrected for small systematic errors
#Column	Name	(a14)	Target identifier	[ucd=meta.id;meta.main]
#Column	BJD	(F13.5)	Barycentric Julian Date	[ucd=time.epoch]
#Column	RVcor	(F10.3)	[-39874/42364] Corrected radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RVcor	(F7.3)	[0.01/374] 1{sigma} uncertainty in RVel	[ucd=stat.error]
#Column	S	(F7.4)	[-5.5/69] Chromosperic activity S-index (1)	[ucd=phot.flux;arith.ratio]
#Column	H	(F7.4)	[-1/0.11]? Chromosperic activity H-index (2)	[ucd=phot.flux;arith.ratio]
#Column	Count	(I6)	[67/616935] Median photons per pixel	[ucd=phot.count;em.X-ray]
#Column	ExpTime	(I4)	[-1/2551] Exposure time	[ucd=time.duration;obs.exposure]
#Column	CorV	(F6.3)	[-39874/42364] Radial velocity correction value	[ucd=phys.veloc;arith.diff]
#Column	e_CorV	(F6.3)	[0.01/253] 1{sigma} uncertainty in CorV	[ucd=stat.error]
Name;BJD;RVcor;e_RVcor;S;H;Count;ExpTime;CorV;e_CorV
HD99491       ;2451900.14340;     1.944;  1.248; 0.1949;       ; 92624;  62;-0.214; 0.306
HD99491       ;2451973.04863;     0.804;  1.231; 0.1792;       ;102771; 201;-0.584; 0.350
HD99491       ;2451974.02462;    -1.545;  1.337; 0.1933;       ;104353;  88;-0.615; 0.350
HD99491       ;2452030.88346;    -0.368;  1.490; 0.1859;       ;104287; 250;-1.332; 0.509
HD99491       ;2452333.14213;    -0.348;  1.535; 0.1816;       ; 83630;  79; 0.348; 0.474
HD99491       ;2452334.07766;    -8.415;  1.736; 0.1910;       ; 95741;  43; 0.265; 0.474
HD99491       ;2452364.03959;    -1.214;  1.594; 0.1931;       ;105194;   0;-0.886; 0.761
HD99491       ;2452602.16447;     7.465;  1.300; 0.2194;       ;114500;  60;-0.675; 0.391
HD99491       ;2452803.85596;    -1.294;  1.349; 0.1740;       ; 99646;  71;-1.206; 0.322
HD99491       ;2453018.02641;   -10.297;  1.483; 0.1743;       ;110063;  48;-1.483; 0.354
HD99491       ;2453398.09537;    -5.438;  1.194; 0.1800; 0.0330; 99751;  66; 1.918; 0.356
HD99491       ;2453398.09661;    -5.290;  1.271; 0.1819; 0.0329; 98907;  58; 1.920; 0.356
HD99491       ;2453398.09784;    -7.141;  1.329; 0.1823; 0.0328; 99860;  65; 1.921; 0.356
HD99491       ;2453480.76407;    -0.932;  1.382; 0.2018; 0.0329; 98427;  51; 0.742; 0.469
HD99491       ;2453480.76517;     1.877;  1.401; 0.2029; 0.0329; 95672;  52; 0.743; 0.469
HD99491       ;2453480.76628;     0.035;  1.298; 0.2035; 0.0329; 95504;  51; 0.745; 0.469
HD99491       ;2453725.10686;     5.254;  1.190; 0.1719; 0.0329;104609;  66; 1.216; 0.264
HD99491       ;2453725.10817;     3.422;  1.131; 0.1799; 0.0330;104365;  69; 1.218; 0.264
HD99491       ;2453747.15079;     0.781;  1.308; 0.1883; 0.0333; 92898; 500; 1.329; 0.216
HD99491       ;2453748.08854;    -4.879;  1.209; 0.1773; 0.0331;102850;  77; 1.249; 0.215
HD99491       ;2453748.09265;    -2.014;  1.121; 0.1727; 0.0331;103416;  70; 1.254; 0.215
HD99491       ;2453748.09397;    -2.986;  1.199; 0.1742; 0.0332;103235;  67; 1.256; 0.215
HD99491       ;2453753.04620;    -5.204;  1.087; 0.1789; 0.0330;103455;  55; 1.344; 0.240
HD99491       ;2453753.04734;    -4.135;  1.155; 0.1782; 0.0330;103251;  54; 1.345; 0.240
HD99491       ;2453753.04934;    -5.288;  1.233; 0.1796; 0.0329;105568;  63; 1.348; 0.240
HD99491       ;2453754.02601;    -1.766;  1.173; 0.1752; 0.0329;103460;  65; 1.306; 0.230
HD99491       ;2453754.02722;    -3.368;  1.085; 0.1714; 0.0330;101597;  60; 1.308; 0.230
HD99491       ;2453754.02860;    -5.910;  1.212; 0.1741; 0.0329;103150;  63; 1.310; 0.230
HD99491       ;2453775.98494;     0.332;  1.155; 0.1811; 0.0330;104603;  54; 0.868; 0.283
HD99491       ;2453775.98606;    -0.770;  1.262; 0.1875; 0.0330;102394;  53; 0.870; 0.283
HD99491       ;2453775.98718;     0.039;  1.184; 0.1855; 0.0329;103092;  53; 0.871; 0.283
HD99491       ;2453776.98112;    -1.376;  1.195; 0.1702; 0.0330;102849;  55; 0.816; 0.288
HD99491       ;2453776.98227;    -3.538;  1.176; 0.1715; 0.0330;102338;  57; 0.818; 0.288
HD99491       ;2453776.98347;    -1.719;  1.205; 0.1687; 0.0330;104131;  63; 0.819; 0.288
HD99491       ;2453777.94759;    -5.903;  1.084; 0.1833; 0.0330;101771;  50; 0.843; 0.305
HD99491       ;2453777.94871;    -5.574;  1.219; 0.1808; 0.0330;104246;  49; 0.844; 0.305
HD99491       ;2453779.96765;    -5.213;  1.243; 0.1832; 0.0328;103722;  71; 0.703; 0.359
HD99491       ;2453779.96907;    -9.135;  1.281; 0.1888; 0.0328;101958;  69; 0.705; 0.359
HD99491       ;2453781.17867;    -7.845;  1.455; 0.1819; 0.0328;102927; 163; 0.975; 0.360
HD99491       ;2453806.92067;    -0.755;  1.366; 0.1741; 0.0328;103660;  50; 0.475; 0.721
HD99491       ;2453806.92181;    -2.867;  1.391; 0.1690; 0.0329;105157;  56; 0.477; 0.721
HD99491       ;2453806.92294;    -0.088;  1.383; 0.1702; 0.0329;101780;  51; 0.478; 0.721
HD99491       ;2453926.77281;     2.200;  1.172; 0.1804; 0.0329; 96086; 149; 0.320; 0.310
HD99491       ;2453926.77520;     2.397;  1.152; 0.1813; 0.0329; 96022; 153; 0.323; 0.310
HD99491       ;2453926.77752;     4.364;  1.201; 0.1794; 0.0329; 96557; 156; 0.326; 0.310
HD99491       ;2453927.75704;     3.771;  1.133; 0.1859; 0.0329; 95811;  53; 0.299; 0.310
HD99491       ;2453927.75819;     4.779;  1.095; 0.1856; 0.0329; 96714;  55; 0.301; 0.310
HD99491       ;2453927.75935;     3.768;  1.162; 0.1863; 0.0328; 96966;  58; 0.302; 0.310
HD99491       ;2454084.14611;    -0.456;  1.375; 0.2012; 0.0328; 73078; 148; 0.976; 0.385
HD99491       ;2454084.14832;     1.971;  1.461; 0.1993; 0.0328; 73187; 103; 0.979; 0.385
HD99491       ;2454084.15015;     6.579;  1.452; 0.2025; 0.0329; 72870; 141; 0.981; 0.385
HD99491       ;2454139.06601;    -3.385;  1.202; 0.1914; 0.0328; 75827;  36; 0.035; 0.313
HD99491       ;2454139.06697;    -3.226;  1.144; 0.1926; 0.0328; 74390;  40; 0.036; 0.313
HD99491       ;2454139.06884;    -1.738;  1.173; 0.1922; 0.0328; 76032;  39; 0.038; 0.313
HD99491       ;2454216.90120;     9.405;  1.505; 0.1957; 0.0327; 75262;  46;-0.495; 0.808
HD99491       ;2454216.90222;     5.964;  1.505; 0.2029; 0.0327; 74038;  43;-0.494; 0.808
HD99491       ;2454216.90411;     8.052;  1.522; 0.1979; 0.0327; 73353;  44;-0.492; 0.808
HD99491       ;2454246.79652;     1.254;  1.229; 0.1965; 0.0326; 72546;  39; 0.156; 0.214
HD99491       ;2454246.79749;     2.892;  1.101; 0.2012; 0.0325; 72060;  43; 0.158; 0.214
HD99491       ;2454248.80979;     3.976;  1.209; 0.1958; 0.0325; 73617;  48; 0.174; 0.214
HD99491       ;2454250.79905;     8.220;  1.111; 0.1935; 0.0323; 75810;  45; 0.160; 0.214
HD99491       ;2454251.80304;     5.755;  1.130; 0.1966; 0.0324; 73363;  47; 0.165; 0.214
HD99491       ;2454255.76370;     4.799;  1.312; 0.1964; 0.0324; 57810;  26; 0.431; 0.176
HD99491       ;2454255.76448;     8.418;  1.262; 0.1941; 0.0323; 55259;  24; 0.432; 0.176
HD99491       ;2454277.74149;     2.753;  1.268; 0.1986; 0.0326; 73189;  48; 0.767; 0.215
HD99491       ;2454278.74760;     6.795;  1.160; 0.1976; 0.0326; 74148;  44; 0.775; 0.215
HD99491       ;2454279.74692;     6.886;  1.190; 0.1944; 0.0326; 74050;  45; 0.774; 0.215
HD99491       ;2454279.75014;     6.922;  1.190; 0.1964; 0.0325; 74438;  51; 0.778; 0.215
HD99491       ;2454285.73395;     7.479;  1.547; 0.1998; 0.0325; 72763; 192; 0.351; 0.144
HD99491       ;2454294.75524;     0.296;  1.296; 0.2029; 0.0325; 71875; 110; 0.554; 0.122
HD99491       ;2454300.73742;    11.809;  1.346; 0.2063; 0.0325; 72223;  48; 0.531; 0.123
HD99491       ;2454305.75315;     9.740;  1.247; 0.1999; 0.0325; 71699;  60; 0.480; 0.134
HD99491       ;2454305.75429;     9.569;  1.416; 0.2115; 0.0325; 72145;  55; 0.481; 0.134
HD99491       ;2454306.76720;     7.952;  1.267; 0.2230; 0.0326; 75438; 148; 0.498; 0.134
HD99491       ;2454307.73733;     8.441;  1.386; 0.2054; 0.0327; 73959;  52; 0.459; 0.134
HD99491       ;2454307.73840;     5.879;  1.327; 0.2022; 0.0326; 72800;  50; 0.461; 0.134
HD99491       ;2454308.73888;    12.489;  1.198; 0.2125; 0.0327; 73616;  65; 0.461; 0.134
HD99491       ;2454308.74008;     9.337;  1.217; 0.2210; 0.0327; 73214;  56; 0.463; 0.134
HD99491       ;2454309.74492;     9.821;  1.267; 0.2151; 0.0326; 73432;  81; 0.469; 0.134
HD99491       ;2454310.74096;    11.281;  1.079; 0.2485; 0.0326; 75446;  53; 0.469; 0.137
HD99491       ;2454311.74127;    12.803;  1.366; 0.2179; 0.0326; 73806;  64; 0.417; 0.133
HD99491       ;2454312.74010;     9.060;  1.197; 0.2413; 0.0325; 73690;  50; 0.390; 0.132
HD99491       ;2454313.74135;     8.799;  1.227; 0.2495; 0.0325; 74554;  82; 0.421; 0.131
HD99491       ;2454314.74712;     3.850;  1.287; 0.2134; 0.0327; 76310; 154; 0.440; 0.131
HD99491       ;2454455.11238;    12.104;  1.442; 0.2186; 0.0328; 75616;  43; 0.536; 0.186
HD99491       ;2454456.13288;    16.666;  1.255; 0.2080; 0.0327; 74982;  46; 0.314; 0.197
HD99491       ;2454461.14409;     9.911;  1.463; 0.2006; 0.0327; 47909;  27; 0.329; 0.197
HD99491       ;2454462.04068;     8.065;  2.049; 0.1844; 0.0328; 26299;   0; 0.195; 0.196
HD99491       ;2454462.04505;     5.889;  1.463; 0.1894; 0.0328; 45896;   0; 0.201; 0.196
HD99491       ;2454465.10541;    -1.039;  6.593; 0.2042; 0.0337;  2792;   0; 0.279; 0.196
HD99491       ;2454465.12518;     3.216;  1.394; 0.1844; 0.0329; 75286;   0; 0.304; 0.197
HD99491       ;2454491.02146;    13.103;  1.340; 0.2129; 0.0327; 74975;   0; 0.927; 0.455
HD99491       ;2454493.00622;     7.063;  1.406; 0.2046; 0.0326; 44511;   0; 0.907; 0.455
HD99491       ;2454493.13344;     4.219;  1.349; 0.2057; 0.0327; 46066;   0; 1.071; 0.455
HD99491       ;2454544.98399;     9.325;  1.355; 0.2073; 0.0327; 74403;  44; 0.195; 0.348
HD99491       ;2454545.98896;     3.059;  1.230; 0.2103; 0.0327; 74751;  41; 0.201; 0.348
HD99491       ;2454546.96175;     6.524;  1.375; 0.1992; 0.0328; 76711;  35; 0.166; 0.348
HD99491       ;2454547.86964;     8.603;  1.433; 0.2310; 0.0327; 43345;  98; 0.047; 0.348
HD99491       ;2454548.84565;    10.843;  1.443; 0.2006; 0.0327; 46917;  28; 0.017; 0.348
HD99491       ;2454635.75326;     1.679;  1.240; 0.1956; 0.0325; 47624;  29; 0.521; 0.160
HD99491       ;2454638.74978;     6.663;  1.240; 0.1983; 0.0326; 45370;  24; 0.517; 0.160
HD99491       ;2454807.16341;     9.705;  1.356; 0.2091; 0.0327; 46707;  26; 1.315; 0.205
HD99491       ;2454839.09559;     1.338;  1.352; 0.1862; 0.0327; 48020;  29; 1.852; 0.294
HD99491       ;2454865.08807;     1.005;  1.466; 0.1882; 0.0326; 48172;  31;-0.075; 0.435
HD99491       ;2454928.78985;    14.644;  1.560; 0.1997; 0.0326; 48296;  24;-0.144; 0.392
HD99491       ;2454929.81308;    11.574;  1.512; 0.1962; 0.0327; 47661;  32;-0.114; 0.392
HD99491       ;2454934.87715;     5.592;  1.621; 0.1934; 0.0326; 30800; 103;-0.072; 0.316
HD99491       ;2454934.87962;     7.779;  1.533; 0.2172; 0.0326; 27533;  76;-0.069; 0.316
HD99491       ;2454956.91089;     7.784;  1.980; 0.2086; 0.0326; 47413;  37; 0.146; 0.398
HD99491       ;2454984.83014;    -1.688;  1.352; 0.1903; 0.0327; 49541;  29; 0.488; 0.405
HD99491       ;2455016.74501;     8.036;  1.387; 0.1976; 0.0327; 47525;  26;-0.506; 0.271
HD99491       ;2455173.12307;     6.191;  1.551; 0.2021; 0.0326; 49537;  24;-0.081; 0.187
HD99491       ;2455190.17124;    -2.146;  1.489; 0.1770; 0.0329; 48347;  32;-0.224; 0.164
HD99491       ;2455232.13218;    -1.160;  1.627; 0.1919; 0.0328; 49588;  29; 0.690; 0.495
HD99491       ;2455232.13302;    -3.891;  1.494; 0.1923; 0.0328; 49039;  29; 0.691; 0.495
HD99491       ;2455232.13389;    -4.872;  1.523; 0.1903; 0.0328; 49313;  31; 0.692; 0.495
HD99491       ;2455256.90813;     6.024;  1.455; 0.1900; 0.0328; 49062;  28;-0.454; 0.271
HD99491       ;2455286.01149;    -2.299;  1.429; 0.1878; 0.0327; 49156;  69;-0.211; 0.406
HD99491       ;2455289.90905;     0.748;  1.500; 0.1806; 0.0328; 48954;  39;-0.328; 0.296
HD99491       ;2455311.80231;     4.141;  1.358; 0.1823; 0.0327; 48106;  35;-0.691; 0.275
HD99491       ;2455313.77619;     3.644;  1.417; 0.1881; 0.0327; 50889;  25;-0.724; 0.275
HD99491       ;2455319.82882;    -4.942;  1.558; 0.1684; 0.0326; 32591; 500;-0.528; 0.234
HD99491       ;2455339.89712;     0.127;  1.122; 0.2022; 0.0327; 78041; 261;-0.317; 0.264
HD99491       ;2455376.73572;     8.637;  5.588; 0.1164; 0.0316;  2036;  50;-0.137; 0.299
HD99491       ;2455376.73655;   -12.354;  1.130; 0.1723; 0.0327; 50280;  27;-0.136; 0.299
HD99491       ;2455400.73777;    -7.741;  1.375; 0.1632; 0.0326; 48587;  43;-0.369; 0.200
HD99491       ;2455608.96023;    -9.365;  1.503; 0.1587; 0.0331; 77149; 389; 0.055; 0.314
HD99491       ;2455635.95123;    -6.529;  1.383; 0.1561; 0.0330; 53242;  28;-0.111; 0.251
HD99491       ;2455637.89477;    -7.591;  1.190; 0.1570; 0.0330; 79660;  52;-0.169; 0.265
HD99491       ;2455637.89596;    -7.953;  1.346; 0.1566; 0.0330; 78753;  47;-0.167; 0.265
HD99491       ;2455637.89707;    -6.724;  1.386; 0.1590; 0.0330; 81084;  53;-0.166; 0.265
HD99491       ;2455664.94198;    -9.586;  1.388; 0.1650; 0.0328; 80601;  40; 0.266; 0.279
HD99491       ;2455664.94294;    -5.337;  1.261; 0.1654; 0.0328; 78503;  39; 0.267; 0.279
HD99491       ;2455664.94390;    -7.378;  1.330; 0.1651; 0.0328; 79694;  39; 0.268; 0.279
HD99491       ;2455669.94160;    -5.305;  1.300; 0.1547; 0.0330; 79071;  45; 0.265; 0.279
HD99491       ;2455669.94262;    -4.357;  1.349; 0.1541; 0.0330; 79110;  45; 0.267; 0.279
HD99491       ;2455669.94366;    -3.868;  1.349; 0.1553; 0.0330; 80370;  45; 0.268; 0.279
HD99491       ;2455719.85288;    -3.031;  1.227; 0.1758; 0.0326; 78774;  63; 0.091; 0.201
HD99491       ;2455719.85403;     1.248;  1.236; 0.1758; 0.0326; 78973;  52; 0.092; 0.201
HD99491       ;2455719.85514;    -1.274;  1.385; 0.1724; 0.0326; 79297;  51; 0.094; 0.201
HD99491       ;2455719.85622;    -1.155;  1.217; 0.1759; 0.0326; 79163;  48; 0.095; 0.201
HD99491       ;2455750.77144;    -2.818;  1.309; 0.1718; 0.0327; 78297; 296;-0.332; 0.223
HD99491       ;2455876.14446;    -6.442;  1.215; 0.1651; 0.0331; 79886;  43; 0.412; 0.288
HD99491       ;2455876.14545;    -5.363;  1.263; 0.1629; 0.0331; 77620;  42; 0.413; 0.288
HD99491       ;2455905.16773;    -3.644;  1.372; 0.1566; 0.0330; 48721;  24; 0.184; 0.244
HD99491       ;2455911.05014;    -3.982;  1.232; 0.1717;       ; 79196;  49;-0.018; 0.233
HD99491       ;2455911.05123;    -4.433;  1.271; 0.1708; 0.0330; 80069;  50;-0.017; 0.233
HD99491       ;2455911.05228;    -2.924;  1.281; 0.1696; 0.0330; 79404;  49;-0.016; 0.233
HD99491       ;2455911.05338;    -6.776;  1.134; 0.1659; 0.0330; 79649;  53;-0.014; 0.233
HD99491       ;2455970.91637;    -9.238;  1.347; 0.1682; 0.0329; 78155;  56;-0.402; 0.353
HD99491       ;2455970.91751;   -10.950;  1.232; 0.1659; 0.0330; 79664;  56;-0.400; 0.353
HD99491       ;2455970.91867;   -10.461;  1.251; 0.1716; 0.0328; 76848;  52;-0.399; 0.353
HD99491       ;2455970.91980;   -11.363;  1.337; 0.1696; 0.0329; 77708;  55;-0.397; 0.353
HD99491       ;2455996.90870;    -6.835;  1.472; 0.1644; 0.0328; 47608;  59;-0.285; 0.350
HD99491       ;2456024.80774;    -7.776;  1.443; 0.1771; 0.0330; 78110;  78;-0.434; 0.351
HD99491       ;2456024.80934;    -5.948;  1.453; 0.1746; 0.0330; 78083;  77;-0.432; 0.351
HD99491       ;2456024.81080;    -8.640;  1.472; 0.1769; 0.0329; 78247;  88;-0.430; 0.351
HD99491       ;2456024.81246;    -4.172;  1.395; 0.1756; 0.0329; 78002;  93;-0.428; 0.351
HD99491       ;2456024.81410;    -8.734;  1.375; 0.1750; 0.0330; 78650;  93;-0.426; 0.351
HD99491       ;2456116.76789;    -2.093;  1.162; 0.1805; 0.0327; 77068; 117;-0.377; 0.311
HD99491       ;2456116.76999;    -2.346;  1.201; 0.1763; 0.0328; 78723; 144;-0.374; 0.311
HD99491       ;2456116.77196;    -0.679;  1.288; 0.1787; 0.0327; 77068; 120;-0.371; 0.311
HD99491       ;2456116.77397;    -3.221;  1.220; 0.1773; 0.0327; 77701; 136;-0.369; 0.311
HD99491       ;2456328.04539;    -9.863;  1.423; 0.1991; 0.0329; 50084;  54; 0.523; 0.256
HD99491       ;2456329.06513;    -5.528;  1.305; 0.1838; 0.0329; 80773;   0; 0.548; 0.256
HD99491       ;2456329.06613;    -4.370;  1.325; 0.1819; 0.0329; 79259;  44; 0.550; 0.256
HD99491       ;2456329.06715;    -2.641;  1.276; 0.1833; 0.0329; 79343;  45; 0.551; 0.256
HD99491       ;2456433.80993;     5.123;  1.313; 0.1995; 0.0328; 79807;  73; 0.717; 0.433
HD99491       ;2456433.81118;     4.631;  1.285; 0.2067; 0.0328; 79831;   0; 0.719; 0.433
HD99491       ;2456433.81225;     3.090;  1.247; 0.1988; 0.0328; 79988;  45; 0.720; 0.433
HD99491       ;2456433.81329;     1.728;  1.210; 0.2032; 0.0328; 81648;   0; 0.722; 0.433
HD99491       ;2456640.03327;     1.689;  1.437; 0.2242; 0.0328; 48857; 319; 0.271; 0.401
HD99491       ;2456675.17105;     1.556;  1.449; 0.2075; 0.0330; 51528;  26; 0.594; 0.471
HD99491       ;2456676.93111;    -2.925;  1.317; 0.2084; 0.0328; 79556;  72; 0.285; 0.471
HD99491       ;2456676.93236;    -3.486;  1.401; 0.2049; 0.0328; 79918;  61; 0.286; 0.471
HD99491       ;2456676.93373;    -2.528;  1.308; 0.2045; 0.0328; 80849;   0; 0.288; 0.471
HD99491       ;2456676.93515;    -7.340;  1.411; 0.2039; 0.0328; 79907;   0; 0.290; 0.471
HD99491       ;2456828.75964;     1.157;  1.309; 0.2031; 0.0326; 49919;  26;-1.627; 0.354

